Entry ID,US entry name,Pos. ID,[Pos. name],Feature ID,[Feature name],Padding #0,Feature value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Padding #1,Padding #2,Padding #3,Ship effect amount,Unknown,Padding #4,Padding #5,Padding #6,Padding #7,[US descr. pos.],[US descr. size],US descr. str.
0,Lawrence,0,Helmsman,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390004,96,"A mercenary-for-hire, he sails the skies for a\nsteep price. He will increase your ship's Quick."
1,Don,0,Helmsman,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390100,68,Having Don in your active crew will increase\nyour ship's Dodge%.
2,Brabham,1,Engineer,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390168,72,Having Brabham in your active crew will increase\nyour ship's Defense.
3,Hans,1,Engineer,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390240,76,Having Hans in your active crew will increase\nyour ship's Magic Defense.
4,Belle,2,Gunner,64,Attack: Secondary cannon,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390316,92,Having Belle in your active crew will increase\nthe damage done by your Secondary Cannons.
5,Khazim,2,Gunner,48,Attack: Main cannon,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390408,88,Having Khazim in your active crew will increase\nthe damage done by your Main Cannons.
6,Tikatika,3,Lookout,81,Hit%: Torpedo,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390496,68,Having Tikatika in your active crew increases\nyour torpedoes' Hit%.
7,Domingo,3,Lookout,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,3390564,88,Having Domingo in your active crew increases\nyour chances of delivering critical hits.
8,Osman,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390652,88,Having Osman in your active crew will increase\nyour chance of finding expensive items.
9,Kalifa,4,Merchant,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390740,88,Having Kalifa in your active crew will increase\nyour chance of finding special items.
10,Izmael,5,Builder,96,Attack: S-Cannon,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3390828,100,Having Izmael in your active crew will increase\nthe destructive power of your Moon Stone Cannon.
11,Kirala,5,Builder,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,3390928,68,"Using the Crew Command, she will replenish your\nship's HP to full."
12,Polly,6,Cook,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,3390996,64,"Using the Crew Command, she will replenish one\ncharacter's MP."
13,Urala,6,Cook,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,3391060,64,"Using the Crew Command, she will max out\nyour Spirit Points."
14,Ryu-kan,7,Artisan,-1,None,0,0,105,Add Strengthen (Ship),15,4,0,0,0,0,0,0,0,0,0,3391124,88,"Using the Crew Command, he will raise your \nship's Attack and Defense for a short time."
15,Ilchymis,7,Artisan,-1,None,0,0,108,Improve parameters (Ship),8,8,0,0,0,50,0,0,0,0,0,3391212,92,"Using the Crew Command, he will raise your\nship's attributes for a short period of time."
16,Marco,8,Sailor,-1,None,0,0,114,Increase Spirit restoration to 200% (Ship),8,-1,0,0,0,0,0,0,0,0,0,3391304,80,"Using the Crew Command, he will double all of\nyour Spirit Points for one turn."
17,Robinson,8,Sailor,-1,None,0,0,113,Decrease Spirit consumption to 50% (Ship),8,0,0,0,0,0,0,0,0,0,0,3391384,88,"Using the Crew Command, he will reduce the\nSpirit Points cost for actions for a turn."
18,Pow,9,Jester,-1,None,0,0,111,Improve First strike% (Ship),4,0,0,0,0,0,0,0,0,0,0,3391472,88,"Using the Crew Command, he will raise your\nchances of attacking first for a full turn."
19,Merida,9,Jester,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,3391560,68,Having Merida in your active crew will increase\nyour ship's value.
20,Moegi,10,Delegate,-1,None,0,0,110,Block magic (Ship),10,0,0,0,0,0,0,0,0,0,0,3391628,88,"Using the Crew Command, she will protect your\nship from enemy magic for a full turn."
21,Pinta,10,Delegate,-1,None,0,0,109,Block artillery (Ship),10,0,0,0,0,0,0,0,0,0,0,3391716,92,"Using the Crew Command, he will protect your\nship from enemy cannon fire for a full turn."
