Entry ID,[Filter],Initiative,Magic EXP,Enemy 1 ID,[JP Enemy 1 Name],[US Enemy 1 Name],Enemy 2 ID,[JP Enemy 2 Name],[US Enemy 2 Name],Enemy 3 ID,[JP Enemy 3 Name],[US Enemy 3 Name],Enemy 4 ID,[JP Enemy 4 Name],[US Enemy 4 Name],Enemy 5 ID,[JP Enemy 5 Name],[US Enemy 5 Name],Enemy 6 ID,[JP Enemy 6 Name],[US Enemy 6 Name],Enemy 7 ID,[JP Enemy 7 Name],[US Enemy 7 Name],Enemy 8 ID,[JP Enemy 8 Name],[US Enemy 8 Name]
0,A017A_EP.BIN,102,2,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A017A_EP.BIN,102,2,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,A017A_EP.BIN,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,A017A_EP.BIN,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None
4,A017A_EP.BIN,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None
5,A017A_EP.BIN,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None
0,A020B_EP.BIN,154,3,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A020B_EP.BIN,149,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,A020B_EP.BIN,144,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,A020B_EP.BIN,139,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None
0,A035B_EP.BIN,134,3,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A035B_EP.BIN,134,3,60,モノノフ,Soldier,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,A035B_EP.BIN,134,3,60,モノノフ,Soldier,60,モノノフ,Soldier,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,A035B_EP.BIN,134,3,60,モノノフ,Soldier,60,モノノフ,Soldier,60,モノノフ,Soldier,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None
4,A035B_EP.BIN,144,3,105,ベレーザ兵,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,A035B_EP.BIN,144,3,105,ベレーザ兵,Red Guard,105,ベレーザ兵,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
