Entry ID,US entry name,Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Order by prio.,US order by ABC,Pad. #0,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,[US descr. pos.],[US descr. size],US descr. str.
80,Vyse's Uniform,49,X,X,"","","",X,50,0,58,0,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,3359736,56,Uniform of the Blue Rogues.\nGiven to him by his father.
81,Aika's Shorts,24,"",X,X,"","","",50,1,1,0,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,3359792,64,"Aika's favorite pair of shorts, given to her\nby Vyse's mother."
82,Fina's Robe,26,"",X,X,"",X,"",50,11,19,0,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,3359856,72,"A traditional Silvite Dress, worn by women of\nthe Silver Civilization."
83,Drachma's Shirt,4,"","","",X,"","",50,4,13,0,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,3359928,76,"An extra large, heavy shirt that's been well\nworn by years of hard work."
84,Enrique's Coat,2,"","","","",X,"",50,33,15,0,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,3360004,80,The light armor of the Valuan Imperial Court.\nIt improves the wearer's agility.
85,Gilder's Mail,37,X,"","",X,"",X,50,27,24,0,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,3360084,92,"Light armor, worn by Gilder under his coat.\nGilder likes to have fun, but he's no dummy."
86,Light Robe,26,"",X,X,"",X,"",50,3,32,0,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,3360176,64,A lightweight robe crafted from magically\nresistant fabric.
87,Valuan Uniform,53,X,X,"",X,"",X,50,2,55,0,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,3360240,56,A uniform stolen from a low-ranking Valuan\nnavigator.
88,Sailor Uniform,53,X,X,"",X,"",X,50,5,49,0,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,3360296,80,"Inexpensive, light weight, and durable, this\nis the preferred dress of sailors."
89,Mystic Dress,24,"",X,X,"","","",75,6,40,0,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,3360376,92,A dress made of magically resistant fabric that\nenables the wearer to resist magic attacks.
90,Valuan Armor,37,X,"","",X,"",X,50,7,54,0,480,17,Defense,0,51,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,3360468,68,On old suit of armor worn by guards in the\nValuan Imperial Palace.
91,Elastamor,63,X,X,X,X,X,X,50,8,14,0,580,17,Defense,0,54,18,MagDef,0,54,36,Yellow,0,-2,-1,None,0,0,3360536,68,A tight-fitting suit that resists damage from\nyellow magic spells.
92,Raincoat,53,X,X,"",X,"",X,50,9,46,0,560,17,Defense,0,56,18,MagDef,0,56,-1,None,0,0,-1,None,0,0,3360604,72,Durable coat worn by sailors to protect them\nfrom the harsh elements.
93,Nasrean Mail,63,X,X,X,X,X,X,50,12,43,0,920,17,Defense,0,66,18,MagDef,0,66,33,Red,0,-2,-1,None,0,0,3360676,92,"Durable, lightweight outfit made for desert\ntravel. Defends the wearer against Red Magic."
94,Ceramic Armor,37,X,"","",X,"",X,50,13,8,0,1040,17,Defense,0,73,18,MagDef,0,62,-1,None,0,0,-1,None,0,0,3360768,84,"Light, but very durable armor created from\nbaking different types of Nasrean Clay."
