Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Pad. #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #1,Pad. #2,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #3,Pad. #4,Pad. #5,Ship occ. ID,[Ship occ. name],Pad. #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #7,Pad. #8,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
36,2150392812,118088,14,Schwertwirbel,117147,14,Ira del Sable,117771,15,Furie du Sabre,115714,13,Cutlass Fury,6,0,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73043,93,Vyse lässt seine Wut an einem Feind aus und\nfügt ihm großen Schaden zu.                SP 7,72278,92,"Vyse desata su ira sobre un solo enemigo,\nproduciendo grandes daños.                  7 PE",72346,93,"Vyse déchaîne sa furie sur un seul ennemi,\ncausant d'importants dégâts.                ES 7",71337,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      SP 7"
37,2150392828,118102,15,Schwerterregen,117161,17,Lluvia de Sables,117786,14,Pluie d'Épées,115727,15,Rain of Swords,6,0,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73136,95,Vyse schädigt alle Feinde auf dem Bildschirm\nmit mächtigen Blitzschlägen.               SP 14,72370,96,Vyse convoca el poder del rayo para que caiga\nsobre todos los enemigos en pantalla.      14 PE,72439,99,Vyse invoque le pouvoir des éclairs et une pluie\nd'épées sur tous les ennemis à l'écran.    ES 14,71429,99,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.        SP 14
38,2150392844,118117,12,Piratenzorn,117178,17,Furia del Pirata,117800,14,Colère Pirate,115742,15,Pirates' Wrath,6,0,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73231,95,Vyse lässt einen Feind den verheerenden Zorn\nder Luftpiraten spüren.                    SP 21,72466,96,Vyse desencadena la ira de los Piratas Aéreos\nsobre un enemigo y produce un daño enorme. 21 PE,72538,98,Vyse déchaîne la colère des Pirates sur un seul\nennemi pour causer d'importants dégâts.    ES 21,71528,97,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.     SP 21
39,2150392860,118129,15,Omega-Psyclone,117195,13,Ciclón Omega,117814,15,Psyclone Oméga,115757,15,Omega Psyclone,1,0,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73326,95,Aika zerstört alle Feinde auf dem Bildschirm\nmit der Macht des Red Moon.                SP 12,72562,96,Aika convoca los poderes de la Luna Roja para\ndestruir a todos los enemigos en pantalla. 12 PE,72636,98,Aika invoque les pouvoirs de la Lune Rouge pour\ndétruire tous les ennemis à l'écran.       ES 12,71625,93,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.      SP 12
40,2150392876,118144,11,Alphasturm,117208,14,Tormenta Alfa,117829,12,Orage Alpha,115772,12,Alpha Storm,1,0,Red,210,2,"",X,"",0,Damage,39,Enemy line #3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73421,96,"Aika entfacht mit ihrem Bumerang einen Feuer-\nwirbel, schädigt alle Feinde auf einer Linie.SP4",72658,93,Aika hace girar su bumerán y un huracán de\nllamas hiere a todos los enemigos en línea. 4 PE,72734,99,"Aika lance son boomerang, invoquant un vortex de\nflammes sur tous les ennemis alignés.       ES 4",71718,97,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    SP 4"
41,2150392888,118155,13,Lambda Burst,117222,17,Explosión Lambda,117841,17,Explosion Lambda,115784,13,Lambda Burst,1,0,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73517,94,"Aika lässt den Boden unter sich explodieren,\nschädigt alle Feinde auf dem Bildschirm.   SP 8",72751,99,Aika explosiona la tierra que le rodea y produce\ndaño a todos los enemigos en pantalla.      8 PE,72833,91,"Aika fait exploser le sol autour d'elle,\nblessant tous les ennemis à l'écran.        ES 8",71815,91,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   SP 8"
42,2150392904,118168,12,Lunar Glyph,117239,12,Glifo Lunar,117858,15,Glyphe Lunaire,115797,12,Lunar Glyph,5,0,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73611,96,"Fina nutzt die Macht des Silver Moon, um einen\nFeind zu schädigen und evtl.zu versteinern.SP 3",72850,97,"Con el poder de la Luna de Plata, Fina produce\ndaño y quizá petrifica a un único enemigo.  3 PE",72924,97,"Fina utilise le pouvoir de la Lune Argent pour\nblesser, voire même pétrifier un ennemi.    ES 3",71906,96,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.       SP 3
43,2150392916,118180,10,Mondwinde,117251,16,Ráfagas Lunares,117873,15,Vents Lunaires,115809,12,Lunar Winds,5,0,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73707,95,"Cupil entfacht einen Sturm, der allen Feinden\nschadet und alle positiven Effekte aufhebt.SP 6",72947,98,Cupil desata una tormenta que hiere y anula los\nefectos beneficiosos de todos los enemigos. 6 PE,73021,99,Cupil invoque un orage pour ôter tous les effets\nbénéfiques aux ennemis et les blesser.      ES 6,72002,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.       SP 6
44,2150955904,118190,8,Attacke,117267,7,Ataque,117888,14,Ruée Mortelle,115821,7,Tackle,6,0,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73802,100,Drachma konzentriert all seine Energie auf seinen\nseinen Metallarm und greift einen Feind an.SP 10,73045,98,Drachma concentra todas sus fuerzas en su brazo\nmetálico y carga contra un enemigo.        10 PE,73120,95,Drachma concentre toute son énergie dans son\nbras métallique et se rue sur un ennemi.   ES 10,72098,98,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.           SP 10
45,2150392928,118198,15,Schicksalshand,117274,17,Mano del Destino,117902,15,Main du Destin,115828,13,Hand of Fate,6,0,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73902,97,"Drachma versetzt einem Feind einen furchtbaren\nHieb mit seinem Metallarm, meistens tödlich.SP25",73143,97,Drachma carga contra un enemigo con su potente\nbrazo y mata al instante a la mayoria.     25 PE,73215,99,"Drachma écrase un ennemi avec son bras puissant,\ncausant la plupart du temps sa mort.       ES 25",72196,97,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.             SP 25"
