Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Pos. ID,[Pos. name],Pad. #0,Feat. ID,[Feat. name],Pad. #1,Feat. value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Pad. #2,Pad. #3,Pad. #4,Ship effect amount,Unk.,Pad. #5,Pad. #6,Pad. #7,Pad. #8,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
0,0x802d5b98,0x1ed75,9,Lawrence,0x1eb78,9,Lawrence,0x1ed91,9,Lawrence,0x1e3dd,9,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c085,94,"Ein Söldner, der zu einem hohen Preis die Lüfte\\nbefährt. Mit ihm wird dein Schiff schneller.",0x1bc6f,84,Mercenario a sueldo que navega a  precio alto.\\nAumentará la Velocidad de tu navío.,0x1be6e,92,Mercenaire naviguant au service du plus offrant.\\nIl accélèrera la vitesse de votre navire.,0x1b766,97,"A mercenary-for-hire, he sails the skies for a\\nsteep price. He will increase your ship's Quick."
1,0x8034ff2c,0x1ed7e,4,Don,0x1eb81,4,Don,0x1ed9a,4,Don,0x1e3e6,4,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c0e3,78,"Hast du Don in deiner aktiven Mannschaft, kann\\ndas Schiff besser ausweichen.",0x1bcc3,97,"Si tienes a Don como miembro de tu tripulación,\\naumentará la capacidad de Esquivar de tu navío.",0x1beca,85,Recruter Don dans votre équipage augmentera\\nles chances d’esquives de votre navire.,0x1b7c7,66,Having Don in your active crew will increase\\nyour ship's Dodge%.
2,0x8034ff30,0x1ed82,8,Brabham,0x1eb85,8,Brabham,0x1ed9e,8,Brabham,0x1e3ea,8,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c131,85,Brabham in deiner aktiven Mannschaft erhöht\\ndie Verteidigungsfähigkeit des Schiffs.,0x1bd24,74,"Si tienes a Brabham en tu tripulación,\\naumentará la Defensa de tu navío.",0x1bf1f,86,Enrôler Brabham comme membre de votre équipage\\naccroîtra la défense de votre navire.,0x1b809,71,Having Brabham in your active crew will increase\\nyour ship's Defense.
3,0x8034ff38,0x1ed8a,5,Hans,0x1eb8d,5,Hans,0x1eda6,5,Hans,0x1e3f2,5,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c186,92,"Wenn Hans in deiner aktiven Mannschaft ist,\\nist die magische Abwehr deines Schiffs besser.",0x1bd6e,78,"Si tienes a Hans en tu tripulación,\\naumentará la Defensa Mágica de tu navío.",0x1bf75,92,Enrôler Hans comme membre de votre équipage\\nrenforcera la défense magique de votre navire.,0x1b850,74,Having Hans in your active crew will increase\\nyour ship's Magic Defense.
4,0x8034ff40,0x1ed8f,6,Belle,0x1eb92,6,Belle,0x1edab,6,Belle,0x1e3f7,6,Belle,2,Gunner,0,64,Secondary cannon attack,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c1e2,90,Mit Belle in deiner aktiven Mannschaft ist\\nder Schaden durch deine Zusatzkanonen größer.,0x1bdbc,95,"Si tienes a Belle en tu tripulación, aumentará\\nel daño infligido por tus Cañones Secundarios.",0x1bfd1,90,Avoir Belle comme membre de votre équipage\\naugmentera les dégâts des canons secondaires.,0x1b89a,91,Having Belle in your active crew will increase\\nthe damage done by your Secondary Cannons.
5,0x8034ff48,0x1ed95,7,Khazim,0x1eb98,7,Khazim,0x1edb1,7,Khazim,0x1e3fd,7,Khazim,2,Gunner,0,48,Main cannon attack,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c23c,82,Khazim in deiner aktiven Mannschaft erhöht\\nden Schaden durch deine Hauptkanonen.,0x1be1b,89,"Con Khazim en tu tripulación, aumentará el\\ndeterioro hecho por tus Cañones Principales.",0x1c02b,81,Engager Khazim dans votre équipage\\naugmentera les dégâts des canons principaux.,0x1b8f5,87,Having Khazim in your active crew will increase\\nthe damage done by your Main Cannons.
6,0x802d5ba4,0x1ed9c,9,Tikatika,0x1eb9f,9,Tikatika,0x1edb8,9,Tikatika,0x1e404,9,Tikatika,3,Lookout,0,81,Torpedo hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c28e,84,Mit Tikatika in deiner aktiven Mannschaft\\nsteigt die Trefferquote deiner Torpedos.,0x1be74,80,"Con Tikatika en tu tripulación, aumentará\\nla tasa de Aciertos de tus torpedos.",0x1c07c,96,Avoir Tikatika dans votre équipage permet à vos\\ntorpilles de toucher plus souvent votre cible.,0x1b94c,69,Having Tikatika in your active crew increases\\nyour torpedoes' Hit%.
7,0x8034ff50,0x1eda5,8,Domingo,0x1eba8,8,Domingo,0x1edc1,8,Domingo,0x1e40d,8,Domingo,3,Lookout,0,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,0x1c2e2,82,Domingo in deiner aktiven Mannschaft\\nerhöht deine Chancen auf kritische Treffer.,0x1bec4,80,"Si tienes a Domingo en tu tripulación,\\naumentará tu tasa de Aciertos Críticos.",0x1c0dc,87,Avoir Domingo dans votre équipage augmente\\nvos chances de donner des Coups critiques.,0x1b991,88,Having Domingo in your active crew increases\\nyour chances of delivering critical hits.
8,0x8034ff58,0x1edad,6,Osman,0x1ebb0,6,Osman,0x1edc9,6,Osman,0x1e415,6,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c334,78,Mit Osman in deiner aktiven Mannschaft\\nfindest du eher kostbare Gegenstände.,0x1bf14,95,"Si tienes a Osman en tu tripulación, aumentará\\ntu probabilidad de encontrar objetos valiosos.",0x1c133,91,Enroler Osman dans votre équipage augmentera\\nvos chances de trouver des objets de valeur.,0x1b9e9,88,Having Osman in your active crew will increase\\nyour chance of finding expensive items.
9,0x8034ff60,0x1edb3,7,Kalifa,0x1ebb6,7,Kalifa,0x1edcf,7,Kalifa,0x1e41b,7,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c382,74,Mit Kalifa in deiner aktiven Mannschaft\\nfindest du eher spezielle Items.,0x1bf73,98,"Si tienes a Kalifa en tu tripulación, aumentará\\ntu probabilidad de encontrar objetos especiales.",0x1c18e,69,Engager Kalifa augmente vos chances\\nde trouver des objets spéciaux.,0x1ba41,87,Having Kalifa in your active crew will increase\\nyour chance of finding special items.
