Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State hit%,Pad. #1,Pad. #2
0,2150940616,5078,7,Increm,5065,7,Increm,5067,7,Increm,5062,7,Increm,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,2150305152,5085,9,Incremus,5072,9,Incremus,5074,9,Incremus,5069,9,Incremus,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,2150940624,5094,8,Sylenis,5081,8,Sylenis,5083,8,Sylenis,5078,8,Sylenis,1,Magic,12,Add Silence,1,One character,0,0,0,0,Green,0,Physical,1,1,5,Silence,40,0,0
3,2150940632,5102,7,Panika,5089,7,Panika,5091,7,Panika,5086,7,Panika,1,Magic,11,Add Confusion,1,One character,0,0,0,0,Green,0,Physical,1,1,4,Confusion,40,0,0
4,2150940640,5109,6,Driln,5096,6,Driln,5098,6,Driln,5093,6,Driln,1,Magic,26,Add Weak,1,One character,0,0,0,0,Green,0,Physical,1,1,8,Weak,40,0,0
5,2150940648,5115,8,Drilnos,5102,8,Drilnos,5104,8,Drilnos,5099,8,Drilnos,1,Magic,26,Add Weak,2,All characters,0,0,0,0,Green,0,Physical,1,1,8,Weak,60,0,0
6,2150940656,5123,6,Sacri,5110,6,Sacri,5112,6,Sacri,5107,6,Sacri,1,Magic,31,Recover HP,3,One enemy,0,500,17408,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,2150940664,5129,7,Sacres,5116,7,Sacres,5118,7,Sacres,5113,7,Sacres,1,Magic,31,Recover HP,3,One enemy,0,1000,17408,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,2150940672,5136,7,Sacrum,5123,7,Sacrum,5125,7,Sacrum,5120,7,Sacrum,1,Magic,31,Recover HP,4,All enemies,0,1000,17408,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,2150305164,5143,9,Sacrulen,5130,9,Sacrulen,5132,9,Sacrulen,5127,9,Sacrulen,1,Magic,32,Recover HP to 100%,3,One enemy,0,10000,17408,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,2150940680,5152,5,Noxi,5139,5,Noxi,5141,5,Noxi,5136,5,Noxi,1,Magic,4,Add Poison + Damage,1,One character,0,1,60,0,Green,1,Magical,1,1,0,Poison,40,0,0
11,2150940688,5157,6,Noxus,5144,6,Noxus,5146,6,Noxus,5141,6,Noxus,1,Magic,4,Add Poison + Damage,2,All characters,0,1,100,0,Green,1,Magical,1,1,0,Poison,60,0,0
