Entry ID,[Filter],[Enemy Ship ID],[Enemy Ship Name],Unk.,Task Rating,Task A Type ID,[Task A Type Name],Task A Arm. ID,[Task A Arm. Name],Task A Param. ID,[Task A Param. Name],Task A Arm. Range,Task B Type ID,[Task B Type Name],Task B Arm. ID,[Task B Arm. Name],Task B Param. ID,[Task B Param. Name],Task B Arm. Range
0,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
1,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
2,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
3,r500a.tec,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
4,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
5,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
6,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
7,r500a.tec,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
8,r500a.tec,23,Blackbeard,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Black Cannon,-1,None,0
9,r500a.tec,23,Blackbeard,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Black Cannon,-1,None,0
10,r500a.tec,23,Blackbeard,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Black Cannon,-1,None,0
11,r500a.tec,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
12,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
13,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
14,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
15,r500a.tec,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
16,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
17,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
18,r500a.tec,23,Blackbeard,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
19,r500a.tec,23,Blackbeard,0,0,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,Black Cannon,0,None,0
0,r501a.tec,2,Valuan Cruiser,3,50,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
