Entry ID,JP entry name,Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Order by prio.,JP order by ABC,Pad. #0,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,[JP descr. pos.],[JP descr. size],JP descr. str.
160,ストーンリング,58,X,X,X,"",X,"",50,1,33,0,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,2925424,96,若い船乗りたちに人気がある石の装飾品で、自分で\n模様を彫ることもできる指輪。Ж防力が上昇する。
161,砂の指輪,58,X,X,X,"",X,"",50,3,34,0,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,2925520,96,月Ж石に付着していた砂をかき集めてかたちを整え、\n高熱で焼いた素焼きの指輪。Ж防力が上昇する。
162,木彫の指輪,58,X,X,X,"",X,"",50,0,16,0,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,2925616,92,神秘的な力を秘めたЖ樹の枝を加工した指輪。\nЖ術文字が彫りこんであるため、気力が上昇する。
163,星の指輪,58,X,X,X,"",X,"",50,4,55,0,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,2925708,100,こなごなに砕けた月Ж石のかけらを散りばめた指輪。\n男女を問わず人気があるデザインで気力が上昇する。
164,二連リング,58,X,X,X,"",X,"",50,2,43,0,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,2925808,92,二つの輪が互いにつながっているおしゃれな指輪。\n指にそっとはめると気力とЖ防力が上昇する。
165,宝珠の指輪,58,X,X,X,"",X,"",50,5,54,0,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,2925900,92,二つの玉が互いに渦を巻く、不思議な模様の指輪。\n指にしっかりはめると気力とЖ防力が上昇する。
166,キュピリング,8,"","",X,"","","",100,6,18,0,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,2925992,96,キュピルそっくりな指輪。気力とЖ防力を跳ね上げ、\nまた銀属性の攻撃や「失神」にも高い耐性を誇る。
167,満月の指輪,58,X,X,X,"",X,"",100,7,59,0,10,77,Recover spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,2926088,84,透きとおった真球の宝石をはめこんだ指輪。\n毎ターン、少しだけ多めにガッツが回復する。
168,セベスクのうろこ,53,X,X,"",X,"",X,50,8,35,0,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,2926172,88,船乗り島の周辺に棲息するセベスクの鋭く尖った\nウロコで作った装飾品。攻撃力が上昇する。
169,ケベスクのうろこ,53,X,X,"",X,"",X,50,9,25,0,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,2926260,96,気の荒いセベスクよりも、もっと凶暴なケベスクの\n硬く鋭いウロコで作った装飾品。攻撃力が上昇する。
170,マロッカの甲羅,53,X,X,"",X,"",X,50,10,58,0,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,2926356,96,太古からほとんど進化していない甲殻類、マロッカの\n外殻を漁師が加工した装飾品。防御力が上昇する。
171,ブブロッカの甲羅,53,X,X,"",X,"",X,50,11,50,0,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,2926452,92,マロッカよりも硬い外殻を持つブブロッカの甲羅を\n船乗りが加工した装飾品。防御力が上昇する。
172,ガトーのツメ,53,X,X,"",X,"",X,50,12,12,0,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,2926544,100,ガトーのツメをバルアの下級市民が加工した装飾品。\n命中率を高めるとともに、攻撃力を少し上昇させる。
173,狩人の手甲,53,X,X,"",X,"",X,50,13,13,0,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,2926644,100,モンテスマの男が狩りの時に利き手に装着する手甲。\n命中率を高めるとともに、攻撃力を少し上昇させる。
174,エルモのわっか,61,X,X,X,X,"",X,50,14,9,0,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,2926744,96,不思議な生命体エルモが持つ、銀色に輝くわっか。\n回避率を高めるとともに、防御力を少し上昇させる。
175,ケチャの羽根飾り,61,X,X,X,X,"",X,50,15,24,0,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,2926840,96,ケチャ神の大いなる加護を受けた美しい羽根飾り。\n回避率を高めるとともに、防御力を少し上昇させる。
176,ビゴロチョーカー,37,X,"","",X,"",X,50,17,48,0,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,2926936,96,自称ファッションリーダー・ビゴロのお気に入り。\n命中率を高めるとともに、攻撃力を少し上昇させる。
177,提督の肩章,55,X,X,"",X,X,X,50,18,40,0,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,2927032,100,提督であることを示す肩章。その誇り高き精神により\n回避率を高めるとともに、防御力を少し上昇させる。
178,謎のゆび人形,57,X,X,X,"","",X,100,19,42,0,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,2927132,80,不気味な姿をした、小さなゆび人形。\n攻撃力、防御力、命中率、回避率が上昇する。
