Entry ID,[Filter],JP entry name,Width,Depth,Element ID,[Element name],Pad. #0,Pad. #1,Movement flags,Counter%,EXP,Gold,Pad. #2,Pad. #3,MAXHP,Unk. #0,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State #9,State #10,State #11,State #12,State #13,State #14,Unk. #1,Effect ID,[Effect name],State ID,[State name],State miss%,Pad. #4,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad. #5,Pad. #6,Item #0 prob.,Item #0 amount,Item #0 ID,[Item #0 name],Item #1 prob.,Item #1 amount,Item #1 ID,[Item #1 name],Item #2 prob.,Item #2 amount,Item #2 ID,[Item #2 name],Item #3 prob.,Item #3 amount,Item #3 ID,[Item #3 name]
0,*,軍艦兵,1,1,4,Yellow,-1,-1,0xfc7,10,1,5,-1,-1,58,18.0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,13,10,18,43,42,40,95,15,-1,-1,1,1,273,雷の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
0,epevent.evp,軍艦兵,1,1,4,Yellow,-1,-1,0xfc7,10,3,5,-1,-1,58,18.0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,13,10,18,43,42,40,95,15,-1,-1,1,1,273,雷の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
1,*,航行士,1,1,4,Yellow,-1,-1,0xfc5,15,1,3,-1,-1,29,18.0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,12,15,19,36,38,38,105,15,-1,-1,6,1,240,サプの葉,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
1,ecinit001.dat,警備兵,1,1,4,Yellow,-1,-1,0xfc5,20,1,0,-1,-1,70,18.0,10,10,10,11,9,10,10,10,11,9,9,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,1,1,15,17,42,36,32,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
2,*,ミクラステル,1,1,5,Silver,-1,-1,0xfcf,15,28,123,-1,-1,138,18.0,10,10,10,10,11,9,0,9,10,10,10,0,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,5,30,25,5,30,96,91,60,90,10,-1,-1,3,1,265,ヒトポの種,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
2,ecinit002.dat,ミクラステル,1,1,5,Silver,-1,-1,0xfcd,20,7,50,-1,-1,135,18.0,11,10,10,10,10,5,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,5,5,5,10,28,72,86,72,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,1,1,3,Blue,-1,-1,0xfff,5,8,31,-1,-1,97,18.0,20,5,20,10,5,10,20,20,20,20,20,0,0,20,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,25,5,20,20,55,83,32,80,5,-1,-1,6,1,170,マロッカの甲羅,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
3,ecinit003.dat,マロッカ,1,1,3,Blue,-1,-1,0xfff,5,2,20,-1,-1,18,18.0,10,10,10,9,11,10,9,9,10,11,11,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,3,3,5,17,45,67,67,90,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
4,*,アーアペプ,3,3,2,Purple,-1,-1,0xfcf,25,19,48,-1,-1,286,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,4,33,28,10,27,86,74,68,80,5,-1,-1,4,1,21,古代の投刃,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
4,ecinit004.dat,アーアペプ,3,3,2,Purple,-1,-1,0xfcd,5,3,40,-1,-1,156,18.0,10,11,9,10,10,10,9,9,10,11,11,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,4,32,4,15,23,77,64,70,80,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
7,*,Ж術処刑士,1,1,4,Yellow,-1,-1,0xff5,5,35,54,-1,-1,406,18.0,9,10,10,11,9,11,5,5,5,5,5,10,0,5,5,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,10,90,40,5,55,100,89,156,70,25,-1,-1,50,1,241,サプガンの葉,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
7,ecinit007.dat,煌術兵Ａ１,1,1,4,Yellow,-1,-1,0xff7,5,150,750,-1,-1,652,18.0,10,10,10,11,9,10,10,10,11,9,9,5,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,10,118,10,5,53,93,100,134,60,30,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
8,*,レトモニケ,1,1,3,Blue,-1,-1,0xfc7,15,9,18,-1,-1,42,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,10,18,10,10,10,10,10,10,500,69,Add Sleep + Damage,3,Sleep,40,-1,5,28,19,10,32,68,64,50,85,5,-1,-1,3,1,249,キュアリン草,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
8,ecinit008.dat,レトモニケ,1,1,3,Blue,-1,-1,0xfc5,15,2,20,-1,-1,50,18.0,10,10,10,9,11,10,9,9,10,0,11,10,0,10,10,10,10,10,10,10,10,10,69,Add Sleep + Damage,3,Sleep,90,-1,5,5,5,10,28,76,64,64,80,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
9,*,レイチア,1,1,1,Red,-1,-1,0xfc7,20,23,24,-1,-1,71,18.0,9,7,14,11,10,10,9,10,10,11,11,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,38,28,15,56,84,86,86,100,20,-1,-1,1,1,267,炎の小箱,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
10,*,カイライ,1,1,0,Green,-1,-1,0xfc5,15,52,41,-1,-1,287,18.0,10,11,9,9,11,10,0,20,20,18,18,0,0,10,22,10,10,10,10,10,10,800,4,Add Poison + Damage,0,Poison,60,-1,8,40,27,15,36,116,105,60,75,5,-1,-1,1,1,50,モーニングスター,1,1,258,月の実,-1,-1,-1,None,-1,-1,-1,None
