Entry ID,[Filter],Initiative,Magic EXP,Enemy 0 ID,[JP Enemy 0 Name],[US Enemy 0 Name],Enemy 1 ID,[JP Enemy 1 Name],[US Enemy 1 Name],Enemy 2 ID,[JP Enemy 2 Name],[US Enemy 2 Name],Enemy 3 ID,[JP Enemy 3 Name],[US Enemy 3 Name],Enemy 4 ID,[JP Enemy 4 Name],[US Enemy 4 Name],Enemy 5 ID,[JP Enemy 5 Name],[US Enemy 5 Name],Enemy 6 ID,[JP Enemy 6 Name],[US Enemy 6 Name],Enemy 7 ID,[JP Enemy 7 Name],[US Enemy 7 Name]
0,a017a_ep.enp,102,2,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a017a_ep.enp,102,2,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a017a_ep.enp,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a017a_ep.enp,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None,255,None,None
4,a017a_ep.enp,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None,255,None,None
5,a017a_ep.enp,102,2,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,42,フードン,Grapor,255,None,None,255,None,None
0,a020b_ep.enp,154,3,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a020b_ep.enp,149,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a020b_ep.enp,144,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a020b_ep.enp,139,3,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,71,テンコウ,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None
0,a035b_ep.enp,134,3,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a035b_ep.enp,134,3,60,モノノフ,Soldier,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a035b_ep.enp,134,3,60,モノノフ,Soldier,60,モノノフ,Soldier,60,モノノフ,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
