Entry ID,US entry name,Pad. #0,Pad. #1,Pad. #2,Pad. #3,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State hit%,Pad. #4,Pad. #5
0,Volcanic Blast,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,Cinder Storm,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One character,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,Feather Slash,0,0,0,0,0,Super Move,0,Damage,102,Character line #3,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,Laser,0,0,0,0,0,Super Move,0,Damage,1,One character,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,Thunder of Fury,0,0,0,0,0,Super Move,0,Damage,101,Character line #2,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,Circle of Panic,0,0,0,0,0,Super Move,11,Add Confusion,1,One character,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,Ring of Sleep,0,0,0,0,0,Super Move,9,Add Sleep,1,One character,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,Target Search,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,Tackle,0,0,0,0,0,Super Move,0,Damage,102,Character line #3,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,Death Strike,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
13,Charge,0,0,0,0,0,Super Move,-1,None,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,Poison Gas,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Character area #1,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
15,Stone Breath,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One character,16,15,0,Green,0,Physical,16,17,2,Stone,60,0,0
16,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,Random Fire,0,0,0,0,0,Super Move,0,Damage,98,Character area #3,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
18,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,Counter Stance,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,Gather Strength,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,Counter Stance,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,Burst,0,0,0,0,0,Super Move,0,Damage,97,Character area #2,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,Terminal,0,0,0,0,0,Super Move,0,Damage,1,One character,16,55,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,Devolver,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,Poisonous Bile,0,0,0,0,0,Super Move,4,Add Poison + Damage,2,All characters,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
26,Death Blossom,0,0,0,0,0,Super Move,0,Damage,201,Characters nearby #2,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,Cannon Fire,0,0,0,0,0,Super Move,0,Damage,1,One character,16,50,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,Wheel Blast,0,0,0,0,0,Super Move,0,Damage,97,Character area #2,16,35,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,Laser Blast,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One character,16,5,6,Neutral,0,Physical,16,17,2,Stone,20,0,0
32,Crypt Laser,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
33,Death Laser,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
34,Assess Damage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,Steelskin,0,0,0,0,0,Super Move,67,Invulnerable,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,Focus,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
38,Eternal Freeze,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,12,2,Purple,0,Physical,0,0,0,Poison,0,0,0
39,Lightning Strike,0,0,0,0,0,Super Move,0,Damage,1,One character,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
40,Terrible Bite,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One character,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
41,Deep Sleep,0,0,0,0,0,Super Move,63,Add Regenerate + Add Sleep,5,User,400,65280,0,Green,0,Physical,0,0,0,Poison,0,0,0
42,Avalauncher,0,0,0,0,0,Super Move,0,Damage,102,Character line #3,16,35,2,Purple,0,Physical,0,0,0,Poison,0,0,0
43,Silver Eclipse,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
44,Drain,0,0,0,0,0,Super Move,26,Add Weak,1,One character,0,0,0,Green,0,Physical,16,17,8,Weak,0,0,0
45,Turn Recovery,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
46,Destruction,0,0,0,0,0,Super Move,17,Remove positive states,2,All characters,16,10,5,Silver,0,Physical,0,0,0,Poison,0,0,0
47,Tremble,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
48,Silver Tundra,0,0,0,0,0,Super Move,0,Damage,1,One character,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
49,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,54,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
50,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,85,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
51,Explode,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
52,Stone Ooze,0,0,0,0,0,Super Move,7,Add Stone,1,One character,0,0,0,Green,0,Physical,16,17,2,Stone,40,0,0
53,Tundra Blast,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
54,Death Waltz,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
55,Engage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
56,Thunder Storm,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
57,Eerie Wail,0,0,0,0,0,Super Move,0,Damage,107,Character line #5,16,15,2,Purple,0,Physical,0,0,0,Poison,0,0,0
58,Assess Damage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
59,Death Waltz,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
60,Vigoro's Charm,0,0,0,0,0,Super Move,70,Add Confusion + Damage,1,One character,16,5,1,Red,0,Physical,16,17,4,Confusion,0,0,0
61,Laser Blast,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One character,16,20,5,Silver,0,Physical,16,17,2,Stone,50,0,0
62,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,12,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
63,Digest,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
64,Terrible Bite,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One character,16,15,2,Purple,0,Physical,16,17,6,Fatigue,20,0,0
65,Neglora,0,0,0,0,0,Super Move,17,Remove positive states,2,All characters,16,5,-1,None,-1,None,-1,-1,-1,None,-1,0,0
66,Ice Storm,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
67,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,60,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
68,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,84,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
69,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,107,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
70,Grenade,0,0,0,0,0,Super Move,0,Damage,96,Character area #1,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
71,Poison Gas,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Character area #1,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
72,Sacrum Crystal,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
73,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,97,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
74,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,75,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
75,Discharge,0,0,0,0,0,Super Move,0,Damage,2,All characters,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
76,Tatatimorutto,0,0,0,0,0,Super Move,0,Damage,1,One character,16,40,3,Blue,0,Physical,0,0,0,Poison,0,0,0
77,Round Claw,0,0,0,0,0,Super Move,0,Damage,1,One character,16,40,5,Silver,0,Physical,0,0,0,Poison,0,0,0
78,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,93,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
79,Sacri Crystal,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,500,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
80,Sacres Crystal,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
81,Sacrulen Crystal,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
82,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,92,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
83,Silver Nightmare,0,0,0,0,0,Super Move,74,Control ally,1,One character,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
84,Silver Binds,0,0,0,0,0,Super Move,0,Damage,1,One character,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
85,Turn Recovery,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
86,Destruction,0,0,0,0,0,Super Move,17,Remove positive states,2,All characters,16,25,-1,None,-1,None,-1,-1,-1,None,-1,0,0
87,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,44,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
