Entry ID,US entry name,Ship flags,[LJ0],[LJ1],[D0],[D1],[D2],Feat. #0 ID,[Feat. #0 name],Pad. #0,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #1,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #2,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #3,Feat. #3 value,Purchase price,Retail price in %,Order by prio.,US order by ABC,Pad. #4,[US descr. pos.],[US descr. size],US descr. str.
440,Rogue Figure,62,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,25,0,2944760,96,"A menacing skull with crossed swords, the symbol\nof the Air Pirates. Increases Magic Defense."
441,Pryn Figure,62,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,22,0,2944856,96,"Crafted after a mystical red bird, and decorated\nwith red feathers. Increases Magic Defense."
442,Pyrynn Figure,62,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,23,0,2944952,80,A sculpture based on the mythical guardian of\nPyrynn. Increases Magic Defense.
443,Arcwhale Figure,62,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,4,0,2945032,80,"A sculpture of an arcwhale, the guardian of the\nskies. Increases Magic Defense."
444,Quetya Figure,62,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,24,0,2945112,88,"A sculpture of a Quetya, an Ixa'takan Deity.\nIts divine power increases Magic Defense."
445,Giant Figure,62,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,16,0,2945200,64,A sculpture in the form of a giant.\nIncreases Magic Defense.
446,Bluheim Figure,62,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,2945264,72,"A sculpture of Bluheim, the Yafutoman Gigas.\nIncreases Magic Defense."
447,Goddess Figure,62,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,17,0,2945336,84,"A sculpture of the goddess of love, courage,\nand victory. Increases Magic Defense."
448,Vyse Figure,62,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,37,0,2945420,60,A shameless sculpture of Vyse. \nIncreases Magic Defense.
449,Spherical Figure,62,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,30,0,2945480,44,A glowing sphere.\nIncreases Magic Defense.
450,Engine Cover,62,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,800,50,10,12,0,2945524,80,"Protects the ship's engine from getting dirty,\nand increases the ship's Quick."
451,Turbo Kit,62,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,1520,50,11,34,0,2945604,92,"Ship Modification, that increases the Moon Stone\npower output, increasing the ship's Quick."
