Entry ID,US entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Pad. #0,Purchase price,Retail price in %,Order by prio.,US order by ABC,Pad. #1,Ship effect amount,Element ID,[Element name],Unk. #0,Unk. #1,Hit%,[US descr. pos.],[US descr. size],US descr. str.
480,Bomb,1,"","",X,107,Damage (Ship),-1,100,0,100,50,0,3,0,80,6,Neutral,0,0,0,0x2cfbf0,48,"A common bomb, designed to damage the enemy.\n"
481,Big Bomb,1,"","",X,107,Damage (Ship),-1,100,0,150,50,1,2,0,120,6,Neutral,0,0,0,0x2cfc20,84,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,Concussion Bomb,1,"","",X,107,Damage (Ship),-1,100,0,200,50,2,6,0,150,6,Neutral,0,0,0,0x2cfc74,80,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,Shredder Bomb,1,"","",X,107,Damage (Ship),-1,100,0,480,50,3,24,0,250,6,Neutral,0,0,0,0x2cfcc4,88,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,Pyro Bomb,1,"","",X,107,Damage (Ship),-1,100,0,450,50,4,21,0,240,1,Red,1,0,0,0x2cfd1c,88,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,Frost Bomb,1,"","",X,107,Damage (Ship),-1,100,0,600,50,5,10,0,240,2,Purple,1,0,0,0x2cfd74,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,Silencer Bomb,1,"","",X,116,Add Silence (Ship),-1,100,0,600,50,6,25,0,0,0,Green,0,165,80,0x2cfdd0,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,Thunder Bomb,1,"","",X,107,Damage (Ship),-1,100,0,450,50,7,28,0,240,4,Yellow,1,0,0,0x2cfe2c,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,Electro Bomb,1,"","",X,106,Add Weak (Ship),-1,100,0,600,50,8,9,0,0,0,Green,0,1,80,0x2cfe88,88,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,Wave Bomb,1,"","",X,107,Damage (Ship),-1,100,0,600,50,9,29,0,240,3,Blue,1,0,0,0x2cfee0,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
490,Repair Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,30,50,10,22,0,400,0,Green,0,0,0,0x2cff3c,68,"Repair materials for minor damage to the ship.\nRestores 4,000 HP."
491,Deluxe Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,75,50,11,8,0,800,0,Green,0,0,0,0x2cff80,72,"Repair materials for moderate damage to the\nship. Restores 8,000 HP."
492,Magic Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,50,12,19,0,0,0,Green,0,0,0,0x2cffc8,92,Repair materials mixed with Green Moon Dust\nfor greater restorative power. Restores all HP.
493,Complete Kit,5,X,"",X,101,Recover HP to 100% (Ship),-1,100,0,300,50,13,5,0,0,0,Green,0,0,0,0x2d0024,72,High-quality repair materials using pure\nMoon Stones. Restores all HP.
494,Gear Grease,1,"","",X,102,Recover Spirit (Ship),-1,100,0,500,50,14,11,0,10,0,Green,0,0,0,0x2d006c,76,"Reduces friction in the gears, improving power\ntransfer. Restores Spirit."
495,Thermal Grease,1,"","",X,103,Recover Spirit to 100% (Ship),-1,100,0,1000,50,15,27,0,0,0,Green,0,0,0,0x2d00b8,80,Prevents heat-related breakdowns at high speeds.\nRestores Spirit completely.
496,Captain's Stripe,4,X,"","",115,Captain's Stripe,-1,100,0,0,50,16,4,0,0,0,Green,0,0,0,0x2d0108,96,A mark earned by shooting down an enemy. Using\nit will increase ship parameters and endurance.
497,Apa Wax,1,"","",X,105,Add Strengthen (Ship),2,100,0,100,50,17,0,0,0,0,Green,0,0,0,0x2d0168,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 2 turns.
498,Apo Wax,1,"","",X,105,Add Strengthen (Ship),4,100,0,1000,50,18,1,0,0,0,Green,0,0,0,0x2d01c4,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 4 turns.
499,Speed Wax,1,"","",X,104,Add Quickened (Ship),1,100,0,150,50,19,26,0,0,0,Green,0,0,0,0x2d0220,68,Applying this wax to the engine improves engine\noutput for 1 turn.
500,Hybrid Wax,1,"","",X,108,Improve parameters (Ship),4,100,0,1500,50,20,15,0,0,0,Green,0,0,0,0x2d0264,72,Wax developed by De Loco. Improves\nvarious ship parameters for 1 turn.
501,Heat Sensor,1,"","",X,112,Improve Critical% (Ship),0,100,0,2000,50,21,13,0,0,0,Green,0,0,0,0x2d02ac,92,Detects the engine room of enemy ships to help\nyour gunners aim. Raises Critical Hit Rate.
502,Rudder Grease,1,"","",X,113,Decrease Spirit consumption to 50% (Ship),0,100,0,2000,50,22,23,0,0,0,Green,0,0,0,0x2d0308,72,"Improves rudder operation, and slows the rate\nof Spirit consumption."
503,Machine Oil,1,"","",X,114,Increase Spirit restoration to 200% (Ship),0,100,0,2000,50,23,17,0,0,0,Green,0,0,0,0x2d0350,96,"Applying oil to the engine parts stabilizes\noutput, doubling the rate of Spirit restoration."
504,Light Alloy,1,"","",X,111,Improve First strike% (Ship),0,100,0,2000,50,24,16,0,0,0,Green,0,0,0,0x2d03b0,92,Alloy blends with the ship's hull to make it\nlighter. Improves chances for first strike.
505,Hex Shell,1,"","",X,109,Block artillery (Ship),0,100,0,5000,50,25,14,0,0,0,Green,0,0,0,0x2d040c,84,"A barrier against artillery attacks for 1 turn,\ndeveloped by a master engineer. "
506,Magic Shell,1,"","",X,110,Block magic (Ship),0,100,0,2500,50,26,20,0,0,0,Green,0,0,0,0x2d0460,76,"A barrier against magic attacks for 1 turn,\ndeveloped by a master magician."
507,Gold Bullion,0,"","","",-1,None,-1,-1,0,10000,100,27,12,0,0,0,Green,0,0,0,0x2d04ac,92,"A piece of solid gold, too big to carry. You can\nkeep it, or sell it if you need the money."
508,Crystal Ball,0,"","","",-1,None,-1,-1,0,1000,100,28,7,0,0,0,Green,0,0,0,0x2d0508,92,"A work of art by a well-known craftsman. You can\nkeep it, or sell it if you need the money."
509,Magic Cannon,0,"","","",-1,None,-1,-1,0,0,0,29,18,0,0,0,Green,0,0,0,0x2d0564,96,A device that fires magic projectiles. Stolen\nfrom Belleza in a battle above the Nasr desert.
