Entry ID,US entry name,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Effect turns,Consume%,Padding #1,Purchase price,Retail price in %,Order by importance,Order by alphabet,Padding #2,Effect amount,Element ID,[Element name],Unknown #1,Unknown #2,Hit%,[US description position],[US description size],US description string
480,Bomb,1,"","",X,107,Damage,-1,100,0,100,50,0,3,0,80,6,Normal,0,0,0,2948080,48,"A common bomb, designed to damage the enemy."
481,Big Bomb,1,"","",X,107,Damage,-1,100,0,150,50,1,2,0,120,6,Normal,0,0,0,2948128,84,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,Concussion Bomb,1,"","",X,107,Damage,-1,100,0,200,50,2,6,0,150,6,Normal,0,0,0,2948212,80,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,Shredder Bomb,1,"","",X,107,Damage,-1,100,0,480,50,3,24,0,250,6,Normal,0,0,0,2948292,88,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,Pyro Bomb,1,"","",X,107,Damage,-1,100,0,450,50,4,21,0,240,1,Red,1,0,0,2948380,88,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,Frost Bomb,1,"","",X,107,Damage,-1,100,0,600,50,5,10,0,240,2,Purple,1,0,0,2948468,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,Silencer Bomb,1,"","",X,116,Add state: Silence,-1,100,0,600,50,6,25,0,0,0,Green,0,165,80,2948560,92,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,Thunder Bomb,1,"","",X,107,Damage,-1,100,0,450,50,7,28,0,240,4,Yellow,1,0,0,2948652,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,Electro Bomb,1,"","",X,106,Add state: Weak,-1,100,0,600,50,8,9,0,0,0,Green,0,1,80,2948744,88,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,Wave Bomb,1,"","",X,107,Damage,-1,100,0,600,50,9,29,0,240,3,Blue,1,0,0,2948832,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
490,Repair Kit,5,X,"",X,100,Recover HP,-1,100,0,30,50,10,22,0,400,0,Green,0,0,0,2948924,68,"Repair materials for minor damage to the ship.\nRestores 4,000 HP."
491,Deluxe Kit,5,X,"",X,100,Recover HP,-1,100,0,75,50,11,8,0,800,0,Green,0,0,0,2948992,72,"Repair materials for moderate damage to the\nship. Restores 8,000 HP."
492,Magic Kit,5,X,"",X,100,Recover HP,-1,100,0,0,50,12,19,0,0,0,Green,0,0,0,2949064,92,Repair materials mixed with Green Moon Dust\nfor greater restorative power. Restores all HP.
493,Complete Kit,5,X,"",X,101,Recover HP: 100%,-1,100,0,300,50,13,5,0,0,0,Green,0,0,0,2949156,72,High-quality repair materials using pure\nMoon Stones. Restores all HP.
494,Gear Grease,1,"","",X,102,Recover Spirit,-1,100,0,500,50,14,11,0,10,0,Green,0,0,0,2949228,76,"Reduces friction in the gears, improving power\ntransfer. Restores Spirit."
495,Thermal Grease,1,"","",X,103,Recover Spirit: 100%,-1,100,0,1000,50,15,27,0,0,0,Green,0,0,0,2949304,80,Prevents heat-related breakdowns at high speeds.\nRestores Spirit completely.
496,Captain's Stripe,4,X,"","",115,Increase: Parameters,-1,100,0,0,50,16,4,0,0,0,Green,0,0,0,2949384,96,A mark earned by shooting down an enemy. Using\nit will increase ship parameters and endurance.
497,Apa Wax,1,"","",X,105,Add state: Strengthen,2,100,0,100,50,17,0,0,0,0,Green,0,0,0,2949480,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 2 turns.
498,Apo Wax,1,"","",X,105,Add state: Strengthen,4,100,0,1000,50,18,1,0,0,0,Green,0,0,0,2949572,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 4 turns.
499,Speed Wax,1,"","",X,104,Add state: Quickened,1,100,0,150,50,19,26,0,0,0,Green,0,0,0,2949664,68,Applying this wax to the engine improves engine\noutput for 1 turn.
500,Hybrid Wax,1,"","",X,108,Improve: Parameters,4,100,0,1500,50,20,15,0,0,0,Green,0,0,0,2949732,72,Wax developed by De Loco. Improves\nvarious ship parameters for 1 turn.
501,Heat Sensor,1,"","",X,112,Improve: Critical%,0,100,0,2000,50,21,13,0,0,0,Green,0,0,0,2949804,92,Detects the engine room of enemy ships to help\nyour gunners aim. Raises Critical Hit Rate.
502,Rudder Grease,1,"","",X,113,Spirit consumption: 50%,0,100,0,2000,50,22,23,0,0,0,Green,0,0,0,2949896,72,"Improves rudder operation, and slows the rate\nof Spirit consumption."
503,Machine Oil,1,"","",X,114,Spirit restoration: 200%,0,100,0,2000,50,23,17,0,0,0,Green,0,0,0,2949968,96,"Applying oil to the engine parts stabilizes\noutput, doubling the rate of Spirit restoration."
504,Light Alloy,1,"","",X,111,Improve: First strike%,0,100,0,2000,50,24,16,0,0,0,Green,0,0,0,2950064,92,Alloy blends with the ship's hull to make it\nlighter. Improves chances for first strike.
505,Hex Shell,1,"","",X,109,Invulnerable: Artillery,0,100,0,5000,50,25,14,0,0,0,Green,0,0,0,2950156,84,"A barrier against artillery attacks for 1 turn,\ndeveloped by a master engineer."
506,Magic Shell,1,"","",X,110,Invulnerable: Magic,0,100,0,2500,50,26,20,0,0,0,Green,0,0,0,2950240,76,"A barrier against magic attacks for 1 turn,\ndeveloped by a master magician."
507,Gold Bullion,0,"","","",-1,None,-1,-1,0,10000,100,27,12,0,0,0,Green,0,0,0,2950316,92,"A piece of solid gold, too big to carry. You can\nkeep it, or sell it if you need the money."
508,Crystal Ball,0,"","","",-1,None,-1,-1,0,1000,100,28,7,0,0,0,Green,0,0,0,2950408,92,"A work of art by a well-known craftsman. You can\nkeep it, or sell it if you need the money."
509,Magic Cannon,0,"","","",-1,None,-1,-1,0,0,0,29,18,0,0,0,Green,0,0,0,2950500,96,A device that fires magic projectiles. Stolen\nfrom Belleza in a battle above the Nasr desert.
