Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,[Chara. #0 Y],Chara. #1 ID,[Chara. #1 name],Chara. #1 X,[Chara. #1 Y],Chara. #2 ID,[Chara. #2 name],Chara. #2 X,[Chara. #2 Y],Chara. #3 ID,[Chara. #3 name],Chara. #3 X,[Chara. #3 Y],Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],[EU enemy #0 name],Enemy #0 X,Enemy #0 Y,Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],[EU enemy #1 name],Enemy #1 X,Enemy #1 Y,Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],[EU enemy #2 name],Enemy #2 X,Enemy #2 Y,Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],[EU enemy #3 name],Enemy #3 X,Enemy #3 Y,Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],[EU enemy #4 name],Enemy #4 X,Enemy #4 Y,Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],[EU enemy #5 name],Enemy #5 X,Enemy #5 Y,Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],[EU enemy #6 name],Enemy #6 X,Enemy #6 Y,Unknown,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name]
0,2,0,Vyse,4,6,1,Aika,6,6,255,None,255,255,255,None,255,255,0,軍艦兵,Soldier,Ferratus,4,2,0,軍艦兵,Soldier,Ferratus,6,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,14,0,Must not lose,1,Cannot escape
1,1,0,Vyse,4,8,1,Aika,6,8,255,None,255,255,255,None,255,255,1,航行士,Guard,Praeses,4,2,1,航行士,Guard,Praeses,6,2,1,航行士,Guard,Praeses,2,3,1,航行士,Guard,Praeses,8,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,14,0,Must not lose,1,Cannot escape
2,2,0,Vyse,4,8,1,Aika,6,8,255,None,255,255,255,None,255,255,128,アントニオ,Antonio,Antonio,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,18,1,May try again,1,Cannot escape
3,2,0,Vyse,4,8,1,Aika,6,8,255,None,255,255,255,None,255,255,129,アガタウマス,Sentinel,Sentinel,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,34,1,May try again,1,Cannot escape
4,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,255,None,255,255,130,イマゴタリア,Bleigock,Bleigock,4,2,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,48,1,May try again,1,Cannot escape
5,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,255,None,255,255,131,獄長,Executioner,Carcer,4,2,7,Ж術処刑士,Spell Warden,Venificus,2,3,7,Ж術処刑士,Spell Warden,Venificus,8,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,50,1,May try again,1,Cannot escape
6,0,0,Vyse,5,8,1,Aika,6,8,255,None,255,255,255,None,255,255,132,ガルシアン,Galcian,Galcian,5,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,52,0,Must not lose,1,Cannot escape
7,1,0,Vyse,5,8,1,Aika,6,8,255,None,255,255,255,None,255,255,72,警備士,Patrol Guard,Custos,5,3,72,警備士,Patrol Guard,Custos,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,52,0,Must not lose,0,Can escape
8,1,0,Vyse,5,8,1,Aika,6,8,255,None,255,255,255,None,255,255,72,警備士,Patrol Guard,Custos,5,3,72,警備士,Patrol Guard,Custos,6,3,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,52,0,Must not lose,0,Can escape
9,2,0,Vyse,4,8,1,Aika,5,9,255,None,255,255,255,None,255,255,133,護送将兵,Royal Guard,Sceptrum Praeses,4,3,133,護送将兵,Royal Guard,Sceptrum Praeses,5,4,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,255,None,None,None,255,255,54,1,May try again,1,Cannot escape
