Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Element ID,Padding #1,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #2,Padding #3,Effect value,Type ID,[Type name],Unknown #1,Hit%,Padding #4,Padding #5,Padding #6,Ship occasion ID,[Ship occasion name],Padding #7,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #8,Padding #9,Padding #10,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string,[DE ship description position],[DE ship description size],DE ship description string,[ES ship description position],[ES ship description size],ES ship description string,[FR ship description position],[FR ship description size],FR ship description string,[GB ship description position],[GB ship description size],GB ship description string
0,2150955688,117818,7,Increm,116877,7,Increm,117501,7,Increm,115444,7,Increm,1,0,Red,120,3,"",X,X,21,Add Strengthen,1,One ally,6,Magic,0,4,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),4,2,0,-1,0,0,0,69669,91,Erhöht Angriffskraft und Verteidigung des\nZiels um 25%.                              SP 4,68911,93,Aumenta la potencia de ataque y la defensa\ndel objetivo en un 25%.                     4 PE,67903,2,e,67903,92,Increases both Attack Power and Defense of\ntarget by 25%.                             SP 4,112131,86,Verbessert Angriff und Verteidigung\nfür 2 Durchgänge um 25%.                    4 SP,111162,91,Aumenta el poder de ataque de tu barco y\nel poder de defensa en un 25% por 2 turnos.  4PE,111593,98,Augmente les puissances d'attaque et de défense\nde votre navire de 25% pour 2 tours.        4 ES,109899,85,Increases your ship's Attack power\nand Defense power by 25% for 2 turns.       4 SP
1,2150392704,117825,9,Incremus,116884,9,Incremus,117508,9,Incremus,115451,9,Incremus,1,0,Red,121,3,"",X,X,21,Add Strengthen,2,All allies,6,Magic,0,16,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),16,4,0,-1,0,0,0,69760,92,Erhöht Angriffskraft und Verteidigung der\ngesamten Gruppe um 25%.                    SP 16,69004,93,Aumenta la potencia de ataque y la defensa\nde un grupo entero en un 25%.              16 PE,67905,20,Au-Dessus du Vortex,67995,97,Increases both Attack Power and Defense of the\nentire party by 25%.                       SP 16,112217,86,Verbessert Angriff und Verteidigung\nfür 4 Durchgänge um 25%.                   16 SP,111253,94,Aumenta el poder de ataque de tu barco y el\npoder de defensa en un 25% por 4 turnos.    16PE,111691,98,Augmente les puissances d'attaque et de défense\nde votre navire de 25% pour 4 tours.       16 ES,109984,85,Increases your ship's Attack power\nand Defense power by 25% for 4 turns.      16 SP
2,2150955696,117834,8,Sylenis,116893,8,Sylenis,117517,8,Sylenis,115460,8,Sylenis,2,0,Purple,20,3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,5,40,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),2,2,0,-1,0,0,0,69852,91,"Hält Ziel davon ab, Zauber zu aktivieren,\nindem es zum Schweigen gebracht wird.      SP 2",69097,90,"Evita que el objetivo conjure hechizos,\nsilenciando éstos.                          2 PE",67925,22,Détroit de Dannel Sud,68092,92,Prevents target from casting any spells by\nSilencing them.                            SP 2,112303,94,Verhindert Zaubersprüche von Feindschiffen.\nErfordert Spezialausrüstung.                2 SP,111347,99,Impide que navíos enemigos usen hechizos. Lanzar\nhechizos requiere un equipo especial.        2PE,111789,98,Empêche les navires ennemis de jeter des sorts.\nÉquipement spécial requis.                  2 ES,110069,92,Prevents enemy ships from casting spells.\nSpecial equipment is needed to cast.        2 SP
3,2150955704,117842,7,Panika,116901,7,Panika,117525,7,Panika,115468,7,Panika,2,0,Purple,130,2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,4,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,69943,94,"Bringt ein Ziel dazu, das nahe gelegene Ziel\nanzugreifen.                               SP 3",69187,90,"Crea confusión en uno de los objetivos,\nllevándole a atacar al más próximo.         3 PE",67947,23,Détroit de Dannel Nord,68184,92,Confuses one target into attacking nearest\ntarget.                                    SP 3,112397,30,Kann nicht benutzt werden.\n,111446,20,No puede usarse.\n,111887,25,Ne peut être utilisé.\n,110161,24,Cannot be used.\n------
4,2150955712,117849,6,Driln,116908,6,Driln,117532,6,Driln,115475,6,Driln,4,0,Yellow,140,3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,8,40,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),3,2,0,-1,0,0,0,70037,94,Schwächt ein Feindziel. Senkt alle Attribute\num 25%.                                    SP 3,69277,95,"Debilita a un objetivo enemigo, disminuyendo\nsus poderes en un 25%.                      3 PE",67970,17,Pays Frontaliers,68276,97,Weakens one enemy target. Lowers all attributes\nby 25%.                                    SP 3,112427,95,Verringert Attribute des Feindschiffes für 2\nDurchgänge. Erfordert Spezialausrüstung.    3 SP,111466,99,Reduce los atributos del navío enemigo 2 turnos.\nLanzar hechizos requiere un equipo especial. 3PE,111912,97,Réduit les attributs de l'ennemi pour 2 tours.\nÉquipement requis pour lancer le sort.      3 ES,110185,94,Lowers enemy ship's attributes for 2 turns.\nSpecial equipment is needed to cast.        3 SP
5,2150955720,117855,8,Drilnos,116914,8,Drilnos,117538,8,Drilnos,115481,8,Drilnos,4,0,Yellow,141,3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,8,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,70131,90,Schwächt alle Feinde auf dem Bildschirm.\nSenkt alle Attribute um 25%.               SP 6,69372,91,Debilita a todos los enemigos que hay en\npantalla y disminuye sus atributos un 25%.  6 PE,67987,14,Armes de Zack,68373,91,Weakens all enemies on screen. Lowers all\nattributes by 25%.                         SP 6,112522,95,Verringert Attribute des Feindschiffes für 4\nDurchgänge. Erfordert Spezialausrüstung.    6 SP,111565,99,Reduce los atributos del navío enemigo 4 turnos.\nLanzar hechizos requiere un equipo especial. 6PE,112009,97,Réduit les attributs de l'ennemi pour 4 tours.\nÉquipement spécial requis pour ensorceller. 6 ES,110279,94,Lowers enemy ship's attributes for 4 turns.\nSpecial equipment is needed to cast.        6 SP
6,2150955728,117863,6,Sacri,116922,6,Sacri,117546,6,Sacri,115489,6,Sacri,0,0,Green,40,7,X,X,X,31,Recover HP,1,One ally,6,Magic,0,2,0,0,500,0,Physical,0,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,400,-1,0,0,0,70221,91,Bringt 500 HP für einen Verbündeten. Kann\nauch außerhalb des Kampfes benutzt werden. SP 2,69463,91,Repone 500 puntos de Salud a los aliados\ny puede usarse fuera de la batalla.         2 PE,68001,16,Magasin d'Erinn,68464,94,Restores 500 HP to any one ally. Can also be\nused outside of battle.                    SP 2,112617,94,Repariert Schaden bis zu 4000 HP. Kann auch\naußerhalb des Kampfes angewendet werden.    2 SP,111664,92,Repara 4000 puntos de Salud de deterioro.\nPuede usarse fuera de la batalla también.    2PE,112106,96,Répare les dégâts pour une valeur de 4000 PV.\nCe sort peut aussi être lancé hors combat.  2 ES,110373,96,"Repairs 4,000 HP worth of damage. Can be cast\noutside of battle as well.                  2 SP"
7,2150955736,117869,7,Sacres,116928,7,Sacres,117552,7,Sacres,115495,7,Sacres,0,0,Green,41,7,X,X,X,31,Recover HP,1,One ally,6,Magic,0,4,0,0,1000,0,Physical,0,0,0,0,0,1,Always,0,100,Recover HP (Ship),4,-1,800,-1,0,0,0,70312,92,Bringt 1000 HP für einen Verbündeten. Kann\nauch außerhalb des Kampfes benutzt werden. SP 4,69554,92,Repone 1000 puntos de Salud a los aliados\ny puede usarse fuera de la batalla.         4 PE,68017,16,Bazar de Bonita,68558,96,"Restores 1,000 HP to any one ally. Can also be\nused outside of battle.                    SP 4",112711,94,Repariert Schaden bis zu 8000 HP. Kann auch\naußerhalb des Kampfes angewendet werden.    4 SP,111756,93,Repara 8000 puntos de Salud de deterioro. \nPuede usarse fuera de la batalla también.    4PE,112202,96,Répare les dégâts pour une valeur de 8000 PV.\nCe sort peut aussi être lancé hors combat.  4 ES,110469,96,"Repairs 8,000 HP worth of damage. Can be cast\noutside of battle as well.                  4 SP"
8,2150955744,117876,7,Sacrum,116935,7,Sacrum,117559,7,Sacrum,115502,7,Sacrum,0,0,Green,42,6,X,X,"",31,Recover HP,2,All allies,6,Magic,0,8,0,0,1000,0,Physical,0,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,70404,93,Bringt 1000 HP für die gesamte Gruppe. Kann\nauch außerhalb des Kampfes benutzt werden. SP 8,69646,87,Repone 1000 puntos de Salud al grupo\ny puede usarse fuera de la batalla.         8 PE,68033,16,Bazar de Bonita,68654,96,"Restores 1,000 HP to entire party. Can also be\nused outside of battle.                    SP 8",112805,30,Kann nicht benutzt werden.\n,111849,20,No puede usarse.\n,112298,25,Ne peut être utilisé.\n,110565,24,Cannot be used.\n------
9,2150392716,117883,9,Sacrulen,116942,9,Sacrulen,117566,9,Sacrulen,115509,9,Sacrulen,0,0,Green,43,7,X,X,X,32,Recover HP to 100%,1,One ally,6,Magic,0,6,0,0,10000,0,Physical,0,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),6,-1,0,-1,0,0,0,70497,88,Erneuert gesamte HP eines Verbündeten.\nAuch außerhalb des Kampfes anwendbar.      SP 6,69733,92,Repone totalmente la Salud de cada aliado\ny puede usarse fuera de la batalla.         6 PE,68049,16,Bazar de Bonita,68750,98,Completely restores HP of any one ally. Can also\nbe used outside of battle.                 SP 6,112835,97,Repariert allen Schaden an deinem Schiff. Kann\nauch außerhalb des Kampfes angewendet werden.6SP,111869,88,Repara todo el deterioro de tu barco.\nPuede usarse fuera de la batalla también.    6PE,112323,91,Répare tous les dégâts sur votre navire.\nCe sort peut aussi être lancé hors combat.  6 ES,110589,95,Repairs all damage on your ship. Can be cast\noutside of battle as well.                  6 SP
