Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Padding #4,Padding #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
160,2150395068,120490,11,Juwel Ring,119710,15,Anillo de Gema,120279,13,Gemme Sertie,118035,14,Gemstone Ring,58,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,86999,83,"Fein gearbeiter Ring, mit eingravierten Runen,\ndie den Träger vor Magie schützen.",86062,87,"Anillo finamente tallado, con jeroglíficos\nque protegen contra el efecto de la Magia.",86039,95,Une bague finement travaillée avec des runes\ngravées qui protègent l'utilisateur de la Magie.,85103,83,"A finely crafted ring engraved with runes,\nthat protect the wearer against magic."
161,2150395084,120501,15,Prophet's Sand,119725,16,Arena Profética,120292,15,Bague de Sable,118049,15,Prophet's Sand,58,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87082,91,"Ring aus verzaubertem Sand, den man bei Moon\nStones findet. Schützt den Träger vor Magie.",86149,79,Anillo de arena mágica procedente de\nPiedras Lunares.Protege contra la Magia.,86134,94,Une bague créée avec du sable enchanté trouvé\nprès des Pierres de Lune. Protège de la Magie.,85186,97,A ring created from enchanted sand found around\nMoon Stones. Protects the wearer against Magic.
162,2150395100,120516,17,Meditations Ring,119741,14,Anillo Mágico,120307,17,Bague Méditation,118064,16,Meditation Ring,58,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87173,82,Ring aus geflochtenen Zweigen verzauberter\nBäume. Erhöht den Willen des Trägers.,86228,73,Anillo entretejido con ramitas de árboles\nmágicos. Aumenta la Voluntad.,86228,91,Une bague fabriquée à partir d'un arbre magique\nAccroît la Volonté de celui qui la porte.,85283,85,A ring crafted from weaving the sprigs of magic\ntrees. Increases the wearer's Will.
163,2150395116,120533,15,Mondstaub Ring,119755,15,Anillo de Luna,120324,17,Bague Poudrelune,118080,14,Moondust Ring,58,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87255,84,"Ring, der mit kleinen  Moon-Stone-Splittern\nverziert ist. Erhöht die Willenskraft.",86301,74,Anillo decorado con fragmentos de Piedras\nLunares. Potencia la Voluntad.,86319,85,Une bague décorée avec des petits morceaux de\nPierres de Lune. Augmente la Volonté.,85368,67,A ring decorated with tiny shards of Moon\nStones. Increases Will.
164,2150395132,120548,15,Liebenden-Ring,119770,17,Anillo del Amado,120341,17,Bague des amants,118094,13,Lover's Ring,58,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,87339,85,"Fein gearbeiteter Ring, der zwei Liebende\nzeigt. Erhöht Magie-Resistenz und Willen.",86375,84,Anillo con la imagen de dos novios. Protege\ncontra la Magia y aumenta la Voluntad.,86404,97,Bague finement travaillée représentant 2 amants\nenlacés. Accroît Résistance Magique et Volonté.,85435,92,A finely crafted ring that depicts two lovers\nembracing. Increases Magic Defense and Will.
165,2150395148,120563,16,Jade Swirl Ring,119787,15,Anillo de Jade,120358,14,Bague de Jade,118107,16,Jade Swirl Ring,58,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,87424,92,"Ring, der mit zwei Tropfen flüssiger Jade\nverziert ist. Erhöht Magie-Resistenz und Willen.",86459,81,Anillo con dos gotas de jade que protege\ncontra la Magia y aumenta la Voluntad.,86501,92,Bague décorée avec 2 gouttes de jade liquide.\nAccroît la Résistance Magique et la Volonté.,85527,83,A ring decorated with two drops of liquid jade.\nIncreases Magic Defense and Will.
166,2150395164,120579,11,Cupil Ring,119802,13,Anillo Cupil,120372,15,Bague du Cupil,118123,11,Cupil Ring,8,"","",X,"","","",100,6,14,10000,49,Death,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,87516,95,"Ring, der Cupil ähnelt. Erhöht Spirit sowie\nResistenz gegen Silber-Angriffe und Eterni-Magie.",86540,88,Se parece a Cupil. Potencia el Espíritu.\nResistente a Ataques de Plata y Magia Eterni.,86593,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\nRésistance aux Attaques d'Argent & Magie Eterni.",85610,97,"A ring that looks like Cupil. Boosts Spirit and\nResistance to Silver Attacks, and Eterni Magic."
167,2150395176,120590,12,Kriegerherz,119815,15,Corazón Bélico,120387,15,Coeur Guerrier,118134,16,Warrior's Heart,58,X,X,X,"",X,"",100,7,59,10,77,Recover spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87611,94,"Ein Ring mit leuchtendem Stein; erlaubt dem\nBenutzer, während des Kampfes Spirit aufzuladen.",86628,83,Anillo con una gema brillante. Ayuda a\nrecuperar el Espiritu durante la batalla.,86691,97,"Une bague avec une pierre brillante, qui permet\nde récupérer de l'Esprit pendant les batailles.",85707,82,"A ring with a glowing gem, that allows the user\nto recover Spirit during battle."
168,2150395192,120602,17,Throkryn's Scale,119830,14,Arma Throkryn,120402,17,Écaille Throkryn,118150,17,Throkryn's Scale,53,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87705,75,Ein aus einem Throkryn hergestellter Waffentyp.\nErhöht die Angriffskraft.,86711,59,Arma modificada con Throkryn.\nAumenta el poder de Ataque.,86788,87,"Une arme modifiée, fabriquée à l'aide d'un\nThrokryn. Augmente la Puissance d'Attaque.",85789,66,A weapon modification made from a Throkryn.\nRaises Attack Power.
169,2150395212,120619,17,Thryllak's Scale,119844,14,Arma Thryllak,120419,17,Écaille Thryllak,118167,17,Thryllak's Scale,53,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87780,94,"Schuppe eines Thryllak, ein Tier, noch tödlicher\nals ein Throkryn. Erhöht die Angriffskraft.",86770,87,"Escamas de Thryllak, animal más mortífero\nque el Throkryn. Mejora el poder de Ataque.",86875,98,"Écaille de Thryllak, animal bien plus dangereux\nque le Throkryn. Accroît la Puissance d'Attaque.",85855,88,"A scale of a Thryllak, an animal even deadlier\nthan the Throkryn. Raises Attack Power."
170,2150395232,120636,16,Maroccas Schale,119858,15,Concha Marocca,120436,17,Bouclier Marocca,118184,16,Marocca's Shell,53,X,X,"",X,"",X,50,10,32,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87874,75,Panzer eines großen primitiven Krustentiers.\nVerbessert die Verteidigung.,86857,70,Concha de un crustáceo primitivo de gran\ntamaño. Aumenta la Defensa.,86973,64,La coquille d'un grand crustacé primitif.\nAméliore la Défense.,85943,62,The shell of a large primitive crustacean.\nImproves Defense.
171,2150395248,120652,16,Buroccas Schale,119873,15,Concha Burocca,120453,17,Bouclier Burocca,118200,16,Burocca's Shell,53,X,X,"",X,"",X,50,11,6,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,87949,85,"Schale eines Burocca, noch härter als das der\nMorocca. Verbessert die Verteidigung.",86927,78,"Concha de Burocca, aún más resistente\nque la de Marocca. Aumenta la Defensa.",87037,89,"La coquille d'un Burocca, encore plus dure que\ncelle d'un Marocca. Améliore la Défense.",86005,81,"The shell of a Burocca, even harder than that\nof the Marocca. Improves Defense."
172,2150395264,120668,14,Crylhundklaue,119888,16,Garra Crylhound,120470,17,Griffe Crylhound,118216,17,Crylhound's Claw,53,X,X,"",X,"",X,50,12,13,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0,0,88034,91,"Eine Waffenart, wie sie von Valua-Soldaten\nbenutzt wird. Verbessert Treffer% und Angriff.",87005,88,Un arma modificada que usan los soldados\nValuan. Aumenta % Aciertos y poder de Ataque.,87126,95,Arme modifiée des Soldats Valuans. Augmente les\nchances de toucher et la Puissance d'Attaque.,86086,81,"A weapon modification used by Valuan Soldiers.\nImproves Hit%, and Attack Power."
173,2150395284,120682,10,Jägerhand,119904,17,Mano del Cazador,120487,17,Gant de Chasseur,118233,14,Hunter's Hand,53,X,X,"",X,"",X,50,13,25,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0,0,88125,86,Panzerhandschuh der Ixa'takaner für die Jagd.\nVerbessert Treffer% und Angriffskraft.,87093,86,Guante de caza de los hombres de Ixa'takan.\nAumenta % de Aciertos y poder de Ataque.,87221,90,Gant d'hommes Ixa'takans pour la chasse.\nAugmente chances de toucher et Force d'Attaque.,86167,82,A gauntlet worn by Ixa'takan men while hunting. \nImproves Hit% and Attack Power.
174,2150395300,120692,11,Diebesaura,119921,16,Aura del Ladrón,120504,15,Aura du Voleur,118247,13,Thief's Aura,61,X,X,X,X,"",X,50,14,54,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,0,0,88211,83,"Ring mit schwarzem Stein, der Ausweichen und\nVerteidigung des Trägers verbessert.",87179,76,Anillo con una piedra negra que aumenta el\npoder de Esquivar y la Defensa.,87311,71,Une bague avec une pierre noire qui améliore\nl'Esquive et la Défense.,86249,74,A ring with a black stone that improves the\nwearer's Dodge% and Defense.
175,2150395316,120703,13,Quetya Feder,119937,13,Pluma Quetya,120519,16,Plume de Quetya,118260,15,Quetya Feather,61,X,X,X,X,"",X,50,15,40,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,0,0,88294,94,"Federschmuck, dem die Macht des Quetya inne-\nwohnt. Verbessert Ausweichen% und Verteidigung.",87255,87,"Pluma decorativa con el poder de la Quetya,\nmejora el poder de Esquivar y la Defensa.",87382,84,Une plume décorative dotée du pouvoir de Quetya.\nAméliore l'Esquive et la Défense.,86323,86,A feather ornament imbued with the power of the\nQuetya. Improves Dodge% and Defense.
176,2150395332,120716,14,Vigoros Kette,119950,17,Cadena de Vigoro,120535,17,Chaîne de Vigoro,118275,15,Vigoro's Chain,37,X,"","",X,"",X,50,17,58,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,0,0,88388,81,"So, findet Vigoro, sollte Mode aussehen.\nVerbessert Treffer% und Angriffskraft.",87342,79,La idea de Vigoro de elegancia.\nMejora el % de Aciertos y el poder de Ataque.,87466,97,Vigoro présente sa vision de la mode. Améliore\nles chances de toucher & la Puissance d'Attaque.,86409,71,Vigoro's idea of a fashion statement. Improves\nHit% and Attack Power.
177,2150395348,120730,15,Matrosenschild,119967,14,Escudo Marino,120552,15,Bouclier Marin,118290,17,Sailor's Buckler,55,X,X,"",X,X,X,50,18,43,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,88469,89,"Kleiner, leichter Schild, das Matrosen tragen.\nVerbessert Ausweichen% und Verteidigung.",87421,84,Escudo pequeño y ligero de los marinos.\nAumenta el poder de Esquivar y la Defensa.,87563,81,Un petit bouclier léger porté par les marins.\nAméliore l'Esquive et la Défense.,86480,73,"A light, but small shield worn by sailors.\nImproves Dodge% and Defense."
178,2150395368,120745,12,Kriegerrune,119981,15,Engarce Bélico,120567,17,Rune du Guerrier,118307,15,Warrior's Rune,57,X,X,X,"","",X,100,19,60,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,0,0,88558,96,"Ring mit mystischen Gravierungen. Verstärkt An-\ngriff, Verteidigung, Treffer% und Ausweichen%.",87505,90,"Anillo con engarces misticos. Mejora poder\nde Ataque, Defensa, % de Aciertos y Esquivez.",87644,73,Une bague aux gravures mystiques. Accroît tous\nles attributs de combat.,86553,82,"A ring with mystic engravings. Increases Attack\nPower, Defense, Hit% and Dodge%."
179,2150395384,120757,16,Alter Armschutz,119996,17,Tónico Ancestral,120584,16,Potion Ancienne,118322,15,Ancient Bracer,53,X,X,"",X,"",X,100,20,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,0,0,88654,94,"Armschutz der alten Gladiatoren. Verbessert\nAngriff, Verteidigung, Treffer% und Ausweichen%.",87595,90,"Tónico usado por gladiadores. Mejora poder\nde Ataque, Defensa, % de Aciertos y Esquivez.",87717,86,Remontant utilisé par les anciens gladiateurs.\nAccroît tous les attributs de combat.,86635,87,"A bracer used by ancient gladiators. Improves\nAttack Power, Defense, Hit% and Dodge%."
