Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Padding #4,Padding #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
80,2150394176,119433,14,Vyses Uniform,118595,17,Uniforme de Vyse,119182,17,Uniforme de Vyse,117025,15,Vyse's Uniform,49,X,X,"","","",X,50,0,58,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0,0,82016,67,"Uniform der Blue Rogues, die er von seinem\nVater geschenkt bekam.",81348,58,Uniforme de los Bandidos Azules.\nSu padre se lo entregó.,81315,50,Uniforme des Voleurs Bleus.\nOffert par son père.,80374,57,Uniform of the Blue Rogues.\nGiven to him by his father.
81,2150394192,119447,13,Aikas Shorts,118612,16,Pantalones Aika,119199,13,Short d'Aika,117040,14,Aika's Shorts,24,"",X,X,"","","",50,1,1,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,0,0,82083,63,"Aikas Lieblingspaar Shorts, die sie von Vyses\nMutter erhielt.",81406,76,La madre de Vyse regaló a Aika estos\npantalones cortos. Son sus favoritos.,81365,51,"Short préféré d'Aika, offert par la mère\nde Vyse.",80431,64,"Aika's favorite pair of shorts, given to her\nby Vyse's mother."
82,2150394208,119460,11,Finas Robe,118628,15,Túnica de Fina,119212,13,Robe de Fina,117054,12,Fina's Robe,26,"",X,X,"",X,"",50,11,19,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,0,0,82146,77,"Traditionelle Silviter-Tracht, von Frauen der\nSilver Civilization getragen.",81482,84,Un vestido Silvite tradicional. Lo llevan\nlas mujeres de la Civilización de Plata.,81416,79,"Robe Silvite traditionnelle, portée par les\nfemmes de la Civilisation Argent.",80495,72,"A traditional Silvite Dress, worn by women of\nthe Silver Civilization."
83,2150394220,119471,14,Drachmas Hemd,118643,15,Camisa Drachma,119225,16,Chemise Drachma,117066,16,Drachma's Shirt,4,"","","",X,"","",50,4,13,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,0,0,82223,80,"Ein extra großes, schweres Hemd, das nach Jahren\nharter Arbeit abgetragen ist.",81566,60,Una enorme camisa muy desgastada por años\nde duro trabajo.,81495,63,"Chemise lourde et très grande, usée\npar des années de labeur.",80567,74,"An extra large, heavy shirt that's been well\nworn by years of hard work."
84,2150394236,119485,16,Enriques Mantel,118658,17,Manto de Enrique,119241,17,Manteau Impérial,117082,15,Enrique's Coat,2,"","","","",X,"",50,33,15,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,0,0,82303,97,Eine leichte Rüstung des kaiserlichen Hofs von\nValua. Sie erhöht die Beweglichkeit des Trägers.,81626,79,Armadura ligera de la Corte Imperial\nValuan. Aumenta la agilidad del usuario.,81558,93,L'armure légère de la Cour Impériale Valuan.\nElle améliore l'agilité de celui qui la porte.,80641,81,The light armor of the Valuan Imperial Court.\nIt improves the wearer's agility.
85,2150394252,119501,15,Gilders Panzer,118675,13,Malla Gilder,119258,17,Maille de Gilder,117097,14,Gilder's Mail,37,X,"","",X,"",X,50,27,24,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,0,0,82400,96,"Leichte Rüstung, die Gilder unter seinem Mantel\nträgt. Er hat gerne Spaß, ist aber nicht dumm.",81705,82,Armadura ligera de la Corte Imperial\nValuan. El travieso de Gilder no es tonto.,81651,94,Armure légère portée par Gilder sous le manteau.\nGilder aime s'amuser mais il n'est pas fou.,80722,90,"Light armor, worn by Gilder under his coat.\nGilder likes to have fun, but he's no dummy."
86,2150394268,119516,13,Leichte Robe,118688,14,Túnica Ligera,119275,13,Tenue Légère,117111,11,Light Robe,26,"",X,X,"",X,"",50,3,32,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,0,0,82496,52,Eine leichte Robe aus magieresistentem Material.\n,81787,70,Una túnica ligera hecha de un material\nresistente a prueba de magia.,81745,58,Une robe légère fabriquée en tissu résistant à\nla magie.,80812,62,A lightweight robe crafted from magically\nresistant fabric.
87,2150394280,119529,14,Valua-Uniform,118702,16,Uniforme Valuan,119288,16,Uniforme Valuan,117122,15,Valuan Uniform,53,X,X,"",X,"",X,50,2,55,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,0,0,82548,89,"Uniform, die von einem valuanischen Seefahrer\nmit niedrigem Dienstgrad gestohlen wurde.",81857,58,Un uniforme robado de un navegante Valuan\nde bajo rango.,81803,62,Un uniforme volé à un navigateur Valuan d'un\nrang inférieur.,80874,55,A uniform stolen from a low-ranking Valuan\nnavigator.
88,2150394296,119543,16,Matrosenuniform,118718,16,Uniforme Marino,119304,15,Uniforme Marin,117137,15,Sailor Uniform,53,X,X,"",X,"",X,50,5,49,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,82637,66,"Billig, leicht und robust - \ndie bevorzugte Tracht der Matrosen.",81915,69,"Barato, ligero y resistente. Es el traje\npreferido por los marinos.",81865,68,"Bon marché, léger et de qualité, c'est l'habit\npréféré des marins.",80929,81,"Inexpensive, light weight, and durable, this\nis the preferred dress of sailors."
89,2150394312,119559,17,Mystisches Kleid,118734,15,Túnica Mística,119319,14,Robe Mystique,117152,13,Mystic Dress,24,"",X,X,"","","",75,6,40,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,0,0,82703,90,"Ein Kleid aus magieresistentem Material, das\nseine Trägerin vor Magie-Angriffen schützt.",81984,83,Traje con tela a prueba de magia. Inmuniza\nal usuario contra los ataques mágicos.,81933,49,Robe fabriquée en tissu résistant à la magie.\n,81010,93,A dress made of magically resistant fabric that\nenables the wearer to resist magic attacks.
