Entry ID,[Filter],Party vigor,Magic EXP,Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],[EU enemy #0 name],Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],[EU enemy #1 name],Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],[EU enemy #2 name],Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],[EU enemy #3 name],Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],[EU enemy #4 name],Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],[EU enemy #5 name],Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],[EU enemy #6 name],Enemy #7 ID,[JP enemy #7 name],[US enemy #7 name],[EU enemy #7 name]
0,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
2,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
3,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
4,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None,255,None,None,None
5,a017a_ep.enp,102,2,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,42,フードン,Grapor,Grapor,255,None,None,None,255,None,None,None
0,a020b_ep.enp,154,3,71,テンコウ,Tenkou,Tenkou,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a020b_ep.enp,149,3,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
2,a020b_ep.enp,144,3,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
3,a020b_ep.enp,139,3,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,71,テンコウ,Tenkou,Tenkou,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
0,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
1,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
2,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
3,a035b_ep.enp,134,3,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,60,モノノフ,Soldier,Mereo,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
4,a035b_ep.enp,144,3,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
5,a035b_ep.enp,144,3,105,ベレーザ兵,Red Guard,Red Praeses,105,ベレーザ兵,Red Guard,Red Praeses,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None,255,None,None,None
