Entry ID,Message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE arm. #0 name pos.],[DE arm. #0 name size],DE arm. #0 name string,[ES arm. #0 name pos.],[ES arm. #0 name size],ES arm. #0 name string,[FR arm. #0 name pos.],[FR arm. #0 name size],FR arm. #0 name string,[GB arm. #0 name pos.],[GB arm. #0 name size],GB arm. #0 name string,Arm. #0 type ID,[Arm. #0 type name],Arm. #0 attack,Arm. #0 range,Arm. #0 hit%,Arm. #0 element ID,[Arm. #0 element name],[DE arm. #1 name pos.],[DE arm. #1 name size],DE arm. #1 name string,[ES arm. #1 name pos.],[ES arm. #1 name size],ES arm. #1 name string,[FR arm. #1 name pos.],[FR arm. #1 name size],FR arm. #1 name string,[GB arm. #1 name pos.],[GB arm. #1 name size],GB arm. #1 name string,Arm. #1 type ID,[Arm. #1 type name],Arm. #1 attack,Arm. #1 range,Arm. #1 hit%,Arm. #1 element ID,[Arm. #1 element name],[DE arm. #2 name pos.],[DE arm. #2 name size],DE arm. #2 name string,[ES arm. #2 name pos.],[ES arm. #2 name size],ES arm. #2 name string,[FR arm. #2 name pos.],[FR arm. #2 name size],FR arm. #2 name string,[GB arm. #2 name pos.],[GB arm. #2 name size],GB arm. #2 name string,Arm. #2 type ID,[Arm. #2 type name],Arm. #2 attack,Arm. #2 range,Arm. #2 hit%,Arm. #2 element ID,[Arm. #2 element name],[DE arm. #3 name pos.],[DE arm. #3 name size],DE arm. #3 name string,[ES arm. #3 name pos.],[ES arm. #3 name size],ES arm. #3 name string,[FR arm. #3 name pos.],[FR arm. #3 name size],FR arm. #3 name string,[GB arm. #3 name pos.],[GB arm. #3 name size],GB arm. #3 name string,Arm. #3 type ID,[Arm. #3 type name],Arm. #3 attack,Arm. #3 range,Arm. #3 hit%,Arm. #3 element ID,[Arm. #3 element name],Padding #0,Padding #1,Padding #2,Padding #3,Padding #4,Padding #5,EXP,Gold,Item drop #0 ID,[Item drop #0 name],Item #0 ID,[Item #0 name],Item drop #1 ID,[Item drop #1 name],Item #1 ID,[Item #1 name],Item drop #2 ID,[Item drop #2 name],Item #2 ID,[Item #2 name]
0,2150454200,124469,15,Valuan Warship,123814,15,Valuan Warship,124407,15,Valuan Warship,121982,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,126475,14,Kleine Kanone,125966,14,Cañón Pequeño,126503,12,Petit Canon,124019,13,Small Cannon,0,Main cannon,120,0,85,6,Neutral,126489,16,Leichte Hilfsk.,125980,16,Subcañón Ligero,126515,15,Subcanon Léger,124032,16,Light Subcannon,1,Secondary cannon,95,1,80,6,Neutral,126505,2,-,125996,2,-,126530,2,-,124048,2,-,-1,None,-1,-1,-1,-1,None,126507,2,-,125998,2,-,126532,2,-,124050,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,2150454216,124484,17,Valuan Spellship,123829,17,Valuan Spellship,124422,17,Valuan Spellship,121997,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,126509,14,Kleine Kanone,126000,14,Cañón Pequeño,126534,12,Petit Canon,124052,13,Small Cannon,0,Main cannon,120,0,80,6,Neutral,126523,16,Leichte Hilfsk.,126014,16,Subcañón Ligero,126546,15,Subcanon Léger,124065,16,Light Subcannon,1,Secondary cannon,95,1,85,6,Neutral,126539,2,-,126030,2,-,126561,2,-,124081,2,-,-1,None,-1,-1,-1,-1,None,126541,2,-,126032,2,-,126563,2,-,124083,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,2150454236,124501,15,Valuan Cruiser,123846,15,Valuan Cruiser,124439,15,Valuan Cruiser,122014,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,126543,15,Standardkanone,126034,15,Cañón Estándar,126565,15,Canon Standard,124085,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,126558,12,Hilfskanone,126049,9,Subcañón,126580,9,Subcanon,124101,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,126570,2,-,126058,2,-,126589,2,-,124111,2,-,-1,None,-1,-1,-1,-1,None,126572,2,-,126060,2,-,126591,2,-,124113,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,2150454252,124516,15,Valuan Phantom,123861,15,Valuan Phantom,124454,15,Valuan Phantom,122029,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,126574,15,Standardkanone,126062,15,Cañón Estándar,126593,15,Canon Standard,124115,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,126589,12,Hilfskanone,126077,9,Subcañón,126608,9,Subcanon,124131,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,126601,2,-,126086,2,-,126617,2,-,124141,2,-,-1,None,-1,-1,-1,-1,None,126603,2,-,126088,2,-,126619,2,-,124143,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,2150454268,124531,15,Valuan Gunboat,123876,15,Valuan Gunboat,124469,15,Valuan Gunboat,122044,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,126605,13,Große Kanone,126090,13,Cañón Grande,126621,12,Canon lourd,124145,13,Large Cannon,0,Main cannon,150,0,70,6,Neutral,126618,14,Schw. Hilfsk.,126103,16,Subcañón Pesado,126633,15,Subcanon Lourd,124158,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,126632,8,Torpedo,126119,8,Torpedo,126648,9,Torpille,124174,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,126640,2,-,126127,2,-,126657,2,-,124182,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,2150454284,124546,17,Valuan Mage Ship,123891,17,Valuan Mage Ship,124484,17,Valuan Mage Ship,122059,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,126642,13,Große Kanone,126129,13,Cañón Grande,126659,12,Canon lourd,124184,13,Large Cannon,0,Main cannon,140,0,70,6,Neutral,126655,14,Schw. Hilfsk.,126142,16,Subcañón Pesado,126671,15,Subcanon lourd,124197,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,126669,8,Torpedo,126158,8,Torpedo,126686,9,Torpille,124213,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,126677,2,-,126166,2,-,126695,2,-,124221,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,2150454304,124563,17,Valuan Destroyer,123908,17,Valuan Destroyer,124501,17,Valuan Destroyer,122076,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,126679,17,Kanonen-Prototyp,126168,16,Cañón Prototipo,126697,16,Canon Prototype,124223,17,Prototype Cannon,0,Main cannon,250,0,80,6,Neutral,126696,16,Gr. Hilfskanone,126184,14,Gran Subcañón,126713,15,Grand Subcanon,124240,17,Great Subcannon,1,Secondary cannon,300,3,90,6,Neutral,126712,15,Großes Torpedo,126198,13,Gran Torpedo,126728,16,Grande Torpille,124257,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,126727,2,-,126211,2,-,126744,2,-,124271,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12"" Blaster",6,Osman,470,Intercom,7,Kalifa,476,Expensive Wheel
7,2150454324,124580,15,Valuan Spectre,123925,15,Valuan Spectre,124518,15,Valuan Spectre,122093,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,126729,11,Neo-Kanone,126213,10,Cañón Neo,126746,10,Canon Neo,124273,11,Neo Cannon,0,Main cannon,250,0,80,6,Neutral,126740,16,Neo-Hilfskanone,126223,13,Subcañón Neo,126756,13,Subcanon Neo,124284,14,Neo Subcannon,1,Secondary cannon,150,3,90,6,Neutral,126756,17,Größeres Torpedo,126236,14,Torpedo Mayor,126769,16,Torpille lourde,124298,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,126773,2,-,126250,2,-,126785,2,-,124314,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Osman,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,2150454340,124595,15,Galcians Elite,123940,16,Galcian's Elite,124533,16,Galcian's Elite,122108,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,126775,16,Schlangenkanone,126252,16,Cañón Serpiente,126787,14,Canon Serpent,124316,15,Serpent Cannon,0,Main cannon,330,0,80,6,Neutral,126791,15,Schnellfeuerk.,126268,13,Cañón Rápido,126801,13,Canon Rapide,124331,13,Rapid Cannon,1,Secondary cannon,250,3,95,6,Neutral,126806,15,Schnelltorpedo,126281,14,Torpedo Veloz,126814,16,Torpille rapide,124344,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,126821,2,-,126295,2,-,126830,2,-,124358,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Osman,438,Crystil Cannon,0,100%,459,Double Shaft
9,2150454356,124610,17,Gregorio Cruiser,123956,17,Gregorio Cruiser,124549,17,Gregorio Cruiser,122124,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,126823,12,Hauptkanone,126297,17,Cañón Principal,126832,16,Canon Principal,124360,12,Main Cannon,0,Main cannon,250,0,90,6,Neutral,126835,15,Fragmentierung,126314,14,Fragmentación,126848,15,Fragmentation,124372,15,Fragmentation,1,Secondary cannon,200,2,80,6,Neutral,126850,2,-,126328,2,-,126863,2,-,124387,2,-,2,Torpedo,250,2,60,6,Neutral,126852,2,-,126330,2,-,126865,2,-,124389,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
