Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Padding #1,Effect value #1,Effect value #2,Element ID,[Element name],Type ID,[Type name],Unknown #1,Unknown #2,Unknown #3,Hit%,Padding #2,Padding #3
0,2150940616,5078,7,Increm,5065,7,Increm,5067,7,Increm,5062,7,Increm,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
1,2150305152,5085,9,Incremus,5072,9,Incremus,5074,9,Incremus,5069,9,Incremus,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
2,2150940624,5094,8,Sylenis,5081,8,Sylenis,5083,8,Sylenis,5078,8,Sylenis,1,Magic,12,Add Silence,1,One ally,0,0,0,0,Green,0,Physical,1,1,5,40,0,0
3,2150940632,5102,7,Panika,5089,7,Panika,5091,7,Panika,5086,7,Panika,1,Magic,11,Add Confusion,1,One ally,0,0,0,0,Green,0,Physical,1,1,4,40,0,0
4,2150940640,5109,6,Driln,5096,6,Driln,5098,6,Driln,5093,6,Driln,1,Magic,26,Add Weak,1,One ally,0,0,0,0,Green,0,Physical,1,1,8,40,0,0
5,2150940648,5115,8,Drilnos,5102,8,Drilnos,5104,8,Drilnos,5099,8,Drilnos,1,Magic,26,Add Weak,2,All allies,0,0,0,0,Green,0,Physical,1,1,8,60,0,0
6,2150940656,5123,6,Sacri,5110,6,Sacri,5112,6,Sacri,5107,6,Sacri,1,Magic,31,Recover HP,3,One enemy,0,500,17408,0,Green,0,Physical,0,0,0,0,0,0
7,2150940664,5129,7,Sacres,5116,7,Sacres,5118,7,Sacres,5113,7,Sacres,1,Magic,31,Recover HP,3,One enemy,0,1000,17408,0,Green,0,Physical,0,0,0,0,0,0
8,2150940672,5136,7,Sacrum,5123,7,Sacrum,5125,7,Sacrum,5120,7,Sacrum,1,Magic,31,Recover HP,4,All enemies,0,1000,17408,0,Green,0,Physical,0,0,0,0,0,0
9,2150305164,5143,9,Sacrulen,5130,9,Sacrulen,5132,9,Sacrulen,5127,9,Sacrulen,1,Magic,32,Recover HP to 100%,3,One enemy,0,10000,17408,0,Green,0,Physical,0,0,0,0,0,0
10,2150940680,5152,5,Noxi,5139,5,Noxi,5141,5,Noxi,5136,5,Noxi,1,Magic,4,Add Poison + Damage,1,One ally,0,1,60,0,Green,1,Magical,1,1,0,40,0,0
11,2150940688,5157,6,Noxus,5144,6,Noxus,5146,6,Noxus,5141,6,Noxus,1,Magic,4,Add Poison + Damage,2,All allies,0,1,100,0,Green,1,Magical,1,1,0,60,0,0
12,2150940696,5163,8,Slipara,5150,8,Slipara,5152,8,Slipara,5147,8,Slipara,1,Magic,9,Add Sleep,2,All allies,0,0,0,0,Green,0,Physical,1,1,3,60,0,0
13,2150940704,5171,6,Quika,5158,6,Quika,5160,6,Quika,5155,6,Quika,1,Magic,20,Add Quickened,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
14,2150940712,5177,6,Curia,5164,6,Curia,5166,6,Curia,5161,6,Curia,1,Magic,30,Remove negative states,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
15,2150940720,5183,6,Risan,5170,6,Risan,5172,6,Risan,5167,6,Risan,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,0,0,Green,0,Physical,55,55,7,50,0,0
16,2150940728,5189,8,Riselem,5176,8,Riselem,5178,8,Riselem,5173,8,Riselem,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,0,0,0
17,2150940736,5197,7,Eterni,5184,7,Eterni,5186,7,Eterni,5181,7,Eterni,1,Magic,5,Add Unconscious,1,One ally,0,0,0,0,Green,0,Physical,1,1,1,60,0,0
18,2150940744,5204,8,Eternes,5191,8,Eternes,5193,8,Eternes,5188,8,Eternes,1,Magic,5,Add Unconscious,2,All allies,0,0,0,0,Green,0,Physical,1,1,1,80,0,0
19,2150940752,5212,8,Eternum,5199,8,Eternum,5201,8,Eternum,5196,8,Eternum,1,Magic,6,Add Unconscious + Damage #1,1,One ally,0,1,250,5,Silver,1,Magical,1,1,1,0,0,0
20,2150940760,5220,6,Wevli,5207,6,Wevli,5209,6,Wevli,5204,6,Wevli,1,Magic,0,Damage,96,Ally area #1,0,1,60,3,Blue,1,Magical,0,0,0,0,0,0
21,2150940768,5226,7,Wevles,5213,7,Wevles,5215,7,Wevles,5210,7,Wevles,1,Magic,0,Damage,97,Ally area #2,0,1,105,3,Blue,1,Magical,0,0,0,0,0,0
22,2150940776,5233,7,Wevlen,5220,7,Wevlen,5222,7,Wevlen,5217,7,Wevlen,1,Magic,0,Damage,98,Ally area #3,0,1,195,3,Blue,1,Magical,0,0,0,0,0,0
23,2150940784,5240,5,Pyri,5227,5,Pyri,5229,5,Pyri,5224,5,Pyri,1,Magic,0,Damage,2,All allies,0,1,50,1,Red,1,Magical,0,0,0,0,0,0
24,2150940792,5245,6,Pyres,5232,6,Pyres,5234,6,Pyres,5229,6,Pyres,1,Magic,0,Damage,2,All allies,0,1,85,1,Red,1,Magical,0,0,0,0,0,0
25,2150940800,5251,6,Pyrum,5238,6,Pyrum,5240,6,Pyrum,5235,6,Pyrum,1,Magic,0,Damage,2,All allies,0,1,120,1,Red,1,Magical,0,0,0,0,0,0
26,2150305176,5257,9,Crystali,5244,9,Crystali,5246,9,Crystali,5241,9,Crystali,1,Magic,0,Damage,1,One ally,0,1,70,2,Purple,1,Magical,0,0,0,0,0,0
27,2150305188,5266,10,Crystales,5253,10,Crystales,5255,10,Crystales,5250,10,Crystales,1,Magic,0,Damage,1,One ally,0,1,120,2,Purple,1,Magical,0,0,0,0,0,0
28,2150305200,5276,10,Crystalum,5263,10,Crystalum,5265,10,Crystalum,5260,10,Crystalum,1,Magic,0,Damage,1,One ally,0,1,170,2,Purple,1,Magical,0,0,0,0,0,0
