Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],Type ID,[Type name],Element ID,[Element name],Padding #1,Attack,Hit%,Limit,Spirit,Unknown #1,Unknown #2,Unknown #3,Unknown #4,Purchase price,Retail price in %,Order by importance,Order by alphabet,Padding #2,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
400,2150454640,124937,12,Hauptkanone,124283,16,Cañón Principal,124876,16,Canon Principal,122451,12,Main Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,35,80,0,4,-1,0,0,0,450,50,0,26,0,102796,90,"Hauptkanone der “Little Jack”. Sie ist schon\nrecht alt, aber Drachma hält sie in Schuss.",101842,93,"Cañón Principal del Little Jack. Es bastante\nviejo, pero Drachma lo ha conservado muy bien.",102134,85,Le canon principal du Little Jack est plutôt\nvieux mais Drachma l'a bien entretenu.,100831,89,"The Little Jack's main cannon. It's rather old,\nbut Drachma has kept it in great shape."
401,2150454652,124949,16,Standard Cannon,124299,15,Cañón Estándar,124892,16,Canon Classique,122463,16,Standard Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,40,83,0,4,-1,0,0,0,1000,50,1,35,0,102886,86,"Hauptkanone auf Valua-Kriegsschiffen,\nmanchmal auch auf dem Schwarzmarkt erhältlich.",101935,84,Se usa normalmente en los Acorazados Valuan\ny puede comprarse en el mercado negro.,102219,94,"Le canon principal utilisé sur les Vaisseaux de\nGuerre Valuan, parfois vendu au Marché Noir.",100920,83,"The main cannon used on Valuan Warships,\nsometimes available on the Black Market."
402,2150454668,124965,13,Heavy Cannon,124314,13,Cañón Pesado,124908,12,Canon Lourd,122479,13,Heavy Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,45,85,0,5,-1,0,0,0,1900,50,2,21,0,102972,89,"Aufgerüstete Standard-Valua-Kanone, auf leichten\nKriegsschiffen in Mid Ocean verwendet.",102019,87,Versión avanzada del Cañón Estándar.\nSe usa en los buques de guerra del Océano Medio.,102313,92,"Un canon Valuan Classique amélioré, utilisé\nsur les vaisseaux légers dans l'Océan Central.",101003,89,"An upgraded version of the Standard Valuan\nCannon, used on light warships in Mid Ocean."
403,2150454684,124978,14,G-Type Cannon,124327,13,Cañón Tipo-G,124920,13,Canon Type-G,122492,14,G-Type Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,50,85,0,5,-1,0,0,0,3000,70,3,18,0,103061,92,Auf Armada-Schiffen beim Sieg über Ixa'taka\nverwendete Kanonen. Etwas veraltet aber stark.,102106,94,"Cañones con los que los navíos de la Armada\nvencieron a Ixa'taka. Anticuados, pero potentes.",102405,85,Ont été utilisés par l'Armada pour\nvaincre Ixa'taka. Un peu désuets mais puissants.,101092,93,"Cannons used on Armada ships, when they defeated\nIxa'taka. Slightly outdated, but powerful."
404,2150454700,124992,14,B-Type Cannon,124340,13,Cañón Tipo-B,124933,13,Canon Type-B,122506,14,B-Type Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,75,90,0,6,-1,0,0,0,4000,50,4,13,0,103153,76,"Aufgerüstete Kanone vom G-Typ, mit demselben\nDesign, aber mehr Feuerkraft.",102200,96,"Versión avanzada del Cañón Tipo-G. Sus diseños\nson iguales, pero con mayor potencia de fogueo.",102490,94,"Version améliorée du Canon Type-G, de style\nidentique avec une plus grande puissance de feu.",101185,94,"An upgraded version of the G-Type Cannon, with\nthe same basic design, but greater firepower."
405,2150454716,125006,17,Prototype Cannon,124353,16,Cañón Prototipo,124946,16,Canon Prototype,122520,17,Prototype Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,100,85,0,6,-1,0,0,0,5000,50,5,31,0,103229,79,"Drehbare Kanone, die Ziele verfolgen kann,\naber nicht viel Schaden anrichtet.",102296,88,Cañón rotante que localiza y sigue la pista de\nlos enemigos. No causa mucho deterioro.,102584,78,"Un canon rotatif qui peut traquer les cibles\nennemies, mais peu destructeur.",101279,77,"A rotating cannon that can track enemy targets,\nbut doesn't do much damage."
406,2150454736,125023,16,Advanced Cannon,124369,15,Cañón Avanzado,124962,16,Canon Supérieur,122537,16,Advanced Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,150,90,0,7,-1,0,0,0,5500,50,6,10,0,103308,91,"Neue, drehbare Kanone, für Valua-Zerstörer ent-\nwickelt. Auf dem Schwarzmarkt erhältlich.",102384,94,"Cañón principal rotante, se usa en destructores\nValuan. Está disponible en el mercado negro.",102662,93,Nouveau canon rotatif principal développé pour\nles destroyers Valuan. Vendu au Marché Noir.,101356,92,A new rotating main cannon developed for Valuan\nDestroyers. Available on the Black Market.
407,2150454752,125039,14,Yamato Spirit,124384,16,Espíritu Yamato,124978,14,Esprit Yamato,122553,14,Yamato Spirit,14,"","",X,X,X,0,Main cannon,6,Neutral,0,250,90,0,8,-1,0,0,0,6700,70,7,39,0,103399,78,"Große, mächtige Kanone, in der traditionellen\nYafutoman-Technik hergestellt.",102478,84,Cañón grande y potente. Está fabricado\nsiguiendo la tradición artesanal Yafutoman.,102755,74,Un grand canon puissant réalisé selon la\ntradition artisanale Yafutoman.,101448,75,A large and powerful cannon based on traditional\nYafutoman craftsmanship.
408,2150454768,125053,15,Ancient Cannon,124400,16,Cañón Ancestral,124992,13,Canon Ancien,122567,15,Ancient Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,300,95,0,9,-1,0,0,0,8500,50,8,11,0,103477,52,Haltbare Kanone aus altem Metall der Alten Welt.\n,102562,72,Resistente cañón construido con metales\nprocedentes del Mundo Antiguo.,102829,61,Un canon solide fabriqué avec des métaux\nde l'Ancien Monde.,101523,63,A durable cannon made from ancient metals from\nthe Old World.
409,2150454784,125068,9,X Cannon,124416,8,Cañón X,125005,8,Canon X,122582,9,X Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,400,97,0,10,-1,0,0,0,11000,50,9,38,0,103529,85,"Sehr große Kanone, mit der große Schiffe kleine\nSchiffe vom Himmel schießen können.",102634,96,Enorme cañón que permite a los navíos grandes\ndestruir las naves pequeñas que surcan el cielo.,102890,90,Un gros canon qui permet aux vaisseaux lourds\nde tirer meilleur parti de leur puissance.,101586,84,A very large cannon that enables large ships to \nblast small ships out of the sky.
