Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Consume%,Retail price in %,Order by importance,Order by alphabet,Padding #1,Purchase price,Padding #2,Padding #3,Effect value,Unknown #1,Unknown #2,Padding #4,Unknown #3,Padding #5,Hit%,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
240,2150396492,121628,14,Sacri Crystal,120893,14,Cristal Sacri,121506,14,Cristal Sacri,119188,14,Sacri Crystal,6,X,X,"",31,Recover HP,1,One ally,100,50,0,55,0,20,0,0,500,-1,-1,0,0,0,0,92537,93,Verzauberter Crystal von den Magiern des Green\nMoon. Erneuert 500 HP für einen Verbündeten.,91438,98,Cristal encantado hecho por los Magos de la Luna\nVerde. Repone 500 puntos de Salud de un aliado.,91701,85,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 500 PV à un allié.,90429,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores 500 HP for one ally.
241,2150396508,121642,15,Sacres Crystal,120907,15,Cristal Sacres,121520,15,Cristal Sacres,119202,15,Sacres Crystal,6,X,X,"",31,Recover HP,1,One ally,100,50,1,53,0,60,0,0,1000,-1,-1,0,0,0,0,92630,94,Verzauberter Crystal von den Magiern des Green\nMoon. Erneuert 1000 HP für einen Verbündeten.,91536,99,Cristal encantado hecho por los Magos de la Luna\nVerde. Repone 1000 puntos de Salud de un aliado.,91786,86,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 1000 PV à un allié.,90517,90,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for one ally."
242,2150396524,121657,15,Sacrum Crystal,120922,15,Cristal Sacrum,121535,15,Cristal Sacrum,119217,15,Sacrum Crystal,6,X,X,"",31,Recover HP,2,All allies,100,50,2,58,0,600,0,0,1000,-1,-1,0,0,0,0,92724,93,Verzauberter Crystal von den Magiern des Green\nMoon. Erneuert 1000 HP für alle Verbündeten.,91635,99,"Cristal encantado de los Magos de la Luna Verde,\nrepone 1000 puntos de Salud a todos los aliados.",91872,93,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 1000 PV à tous les alliés.,90607,92,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for all allies."
243,2150396540,121672,17,Sacrulen Crystal,120937,17,Cristal Sacrulen,121550,17,Cristal Sacrulen,119232,17,Sacrulen Crystal,6,X,X,"",32,Recover HP to 100%,1,One ally,100,50,3,57,0,200,0,0,10000,-1,-1,0,0,0,0,92817,94,Verzauberter Crystal von den Magiern des Green\nMoon. Erneuert alle HP für einen Verbündeten.,91734,95,"Un cristal encantado, creado por magos de la\nLuna Verde. Repone toda la Salud de los aliados.",91965,90,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne tous les PV à un allié.,90699,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores all HP for one ally.
244,2150396560,121689,14,Magic Droplet,120954,12,Gota Mágica,121567,15,Goutte Magique,119249,14,Magic Droplet,7,X,X,X,48,Recover MP,1,One ally,100,50,4,31,0,40,0,0,1,-1,-1,0,0,0,0,92911,89,Aus den Tautropfen eines magischen Baums\ngewonnen. Erneuert 1 MP für einen Verbündeten.,91829,72,Gota de rocío de un árbol mágico.\nRepone 1 punto de Magia a un aliado.,92055,88,Créée à partir de la rosée qui se forme sur un\narbre magique. Redonne 1 PM à un allié.,90787,80,Created from the dew that forms on a magical\ntree. Restores 1 MP for one ally.
245,2150396576,121703,10,Magic Dew,120966,13,Rocío Mágico,121582,14,Rosée Magique,119263,10,Magic Dew,7,X,X,X,48,Recover MP,1,One ally,100,50,5,30,0,400,0,0,10,-1,-1,0,0,0,0,93000,79,Konzentriertere Form des Magic Droplet.\nErneuert 10 MP für einen Verbündeten.,91901,80,Fórmula más concentrada de Gota Mágica.\nRepone 10 puntos de Magia a un aliado.,92143,75,Une forme plus concentrée de la Goutte\nMagique. Redonne 10 PM à un allié.,90867,77,A more concentrated form of the Magic Droplet.\nRestores 10 MP for one ally.
246,2150396588,121713,14,Aura of Valor,120979,14,Aura de Valor,121596,17,Aura de Bravoure,119273,14,Aura of Valor,3,"",X,X,35,Recover SP,2,All allies,100,50,6,1,0,2000,0,0,99,-1,-1,0,0,0,0,93079,73,"Heiliger Stein, der den Spirit der Gruppe\nauf heroisches Niveau anhebt.",91981,90,Piedra sagrada que aumenta el Espíritu del\ngrupo entero hasta alcanzar niveles heroicos.,92218,83,Une pierre sacrée qui remonte l'Esprit de tout\nle groupe à des niveaux héroïques.,90944,77,A sacred stone that boosts the Spirit of the\nentire party to heroic levels.
247,2150396604,121727,13,Soul Crystal,120993,17,Cristal del Alma,121613,14,Cristal d'Âme,119287,13,Soul Crystal,0,"","","",-1,None,0,None,0,100,49,62,0,3000,0,0,0,0,0,0,0,0,0,93152,64,"Wertvoller Schatz, den Zivilyn Bane auf\nDaccat's Island sucht.",92071,63,Valioso tesoro buscado por Zivilyn Bane en la\nIsla de Daccat.,92301,68,Un précieux trésor recherché par Zivilyn Bane\nsur l'Île de Daccat.,91021,64,A valuable treasure sought by Zivilyn Bane on\nDaccat's Island.
248,2150396620,121740,14,Unholy Dagger,121010,12,Daga Impura,121627,15,Poignard Impie,119300,14,Unholy Dagger,0,"","","",-1,None,0,None,0,100,50,69,0,4000,0,0,0,0,0,0,0,0,0,93216,66,"Wertvoller Schatz, den Zivilyn Bane in\nder Grand Fortress sucht.",92134,63,Valioso tesoro buscado por Zivilyn Bane en la\nGran Fortaleza.,92369,74,Un précieux trésor recherché par Zivilyn Bane\ndans la Grande Forteresse.,91085,67,A valuable treasure sought by Zivilyn Bane in\nthe Grand Fortress.
249,2150396636,121754,14,Curia Crystal,121022,14,Cristal Curia,121642,14,Cristal Curia,119314,14,Curia Crystal,2,"",X,"",30,Remove negative states,1,One ally,100,50,7,7,0,30,0,0,0,0,0,0,7,0,0,93282,96,"Verzauberter Crystal, hebt negative Effekte bei\neinem Verbündeten auf, außer Bewusstlosigkeit.",92197,82,Un cristal encantado que cura todos\nlos efectos adversos menos la Inconsciencia.,92443,90,Cristal ensorcelé qui guérit un allié de tous\nles effets néfastes à part l'inconscience.,91152,92,"An ensorcelled crystal that cures all adverse\neffects on one ally, except for Unconscious."
