Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Character ID,[Character name],Retail price in %,Order by importance,Order by alphabet,Inflict state ID,[Inflict state name],Padding #1,Purchase price,Attack,Hit%,Feature ID,[Feature name],Padding #2,Feature value,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
0,2150955912,118419,8,Machete,117508,6,Sable,118147,6,Sabre,116053,8,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,75492,93,Vyse erhielt diese Machete von seinem Vater\nDyne. Sie hat eine kurze Klinge und ist leicht.,74768,85,"Vyse recibió estos sables como regalo de su\npadre, Dyne. La hoja es corta y ligera.",74830,95,"Vyse a reçu ces épées en cadeau de son père,\nDyne. Elles sont légères avec des lames courtes.",73814,94,"Vyse received these swords as a gift from his\nfather, Dyne. It is light, with a short blade."
1,2150393176,118427,15,Piratenmachete,117514,17,Sable del Pirata,118153,16,Sabre de Pirate,116061,15,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,75585,91,Bevorzugtes Schwert der Luftpiraten im Mid\nOcean. Es ist leicht und einfach zu handhaben.,74853,88,El sable preferido por los piratas aéreos del\nOcéano Medio. Ligero y fácil de manejar.,74925,79,Épée préférée des Pirates de\nl'Océan Central. Légère et très facile à manier.,73908,97,The favorite sword among Air Pirates in the Mid\nOcean area. It is light and very easy to wield.
2,2150393192,118442,15,Himmelsmachete,117531,14,Sable Celeste,118169,11,Sabre Ciel,116076,12,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,75676,96,"Machete, die von Pirates und Fischern benutzt\nwird. Sie eignet sich perfekt zum Fischesäubern.",74941,87,Tanto piratas como pescadores usan este sable.\nLa hoja es ideal para limpiar pescado.,75004,95,Sabre utilisé par les Pirates et les pêcheurs.\nSa lame est parfaite pour nettoyer le poisson.,74005,87,A cutlass used by Pirates and fishermen alike.\nIts edge is perfect for cleaning fish.
3,2150393204,118457,16,Admiralsmachete,117545,16,Sable Almirante,118180,15,Sabre d'Amiral,116088,16,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,75772,99,"Altes Schwert, das einmal einem valuanischen Ad-\nmiral gehörte, der in Esperanza stationiert war.",75028,87,Un viejo sable que antaño perteneció a un\nalmirante de Valua que estuvo en Esperanza.,75099,90,Vieille épée qui appartenait jadis à un Amiral\nValuan lorsqu'il était posté à Esperanza.,74092,89,An old sword that once belonged to a Valuan\nAdmiral when he was stationed in Esparanza.
4,2150393220,118473,13,Mörderklinge,117561,15,Espada Asesina,118195,16,Épée d'Assassin,116104,15,Assassin Blade,0,Vyse,50,3,2,0,Poison,0,830,58,90,-1,None,0,0,75871,81,"In aller Welt beliebte Mordwaffe, durch deren\nSchnitt das Opfer vergiftet wird.",75115,90,"Favorita de los asesinos de todo el mundo,\nsobre todo porque envenena todo lo que corta.",75189,81,"Épée préférée des assassins du monde entier,\npour son pouvoir d'empoisonnement.",74181,95,"A favorite among assassins of the world, mainly\nbecause it has a chance to poison its target."
5,2150393236,118486,14,Donnermachete,117576,17,Sable del Trueno,118211,15,Sabre Tonnerre,116119,16,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,75952,84,"Alte Machete aus gehärteter Yeligar-Haut.\nMan sagt, sie könne Blitze zerschneiden.",75205,83,Un sable antiguo hecho con la curtida piel de\nYeligar. Dicen que corta los rayos.,75270,93,Un sabre ancien fabriqué en peau durcie de\nYeligar. On raconte qu'il peut fendre un éclair.,74276,94,An ancient cutlass made from Yeligar's hardened\nskin. Some say it can cut through lightning.
6,2150393252,118500,14,Eisenschneide,117593,12,Cortafierro,118226,15,Coupeur de Fer,116135,12,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,76036,94,Alte Klinge aus der Zeit vor der Alten Welt.\nAngeblich zum Schneiden von Eisenerz verwendet.,75288,85,Una espada anterior al Mundo Antiguo\nque antaño se utilizaba para cortar el hierro.,75363,97,"Ancienne épée datant d'avant l'Ancien Monde, on\ndit qu'elle servait à couper le minerai de fer.",74370,95,"An ancient blade of pre-Old World times, it is\nsaid that this blade was used to cut iron ore."
7,2150393264,118514,13,Nasr-Machete,117605,11,Sable Nasr,118241,14,Sabre de Nasr,116147,13,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,76130,90,"Machete, die von Karawanenhändlern benutzt\nwird, die Klinge besteht aus gehauenem Stein.",75373,84,Los mercaderes del desierto lo usan para\ndefenderse. La hoja es de piedra tallada.,75460,93,Un sabre utilisé par les marchands du désert\npour se défendre; lame taillée dans la pierre.,74465,95,"A cutlass used by desert-faring merchants for\nself-defense, its blade is finely worked stone."
8,2150393280,118527,15,Daccatsschwert,117616,17,Espada de Daccat,118255,15,Épée de Daccat,116160,16,Sword of Daccat,0,Vyse,50,8,62,1,Sleep #1,0,4690,120,90,-1,None,0,0,76220,73,Das Schwert des großen Luftpiraten Daccat.\nEs kann Feinde einschläfern.,75457,87,La espada del gran pirata aéreo Daccat sirve\npara adormecer al enemigo completamente.,75553,68,L'épée du grand Pirate Daccat a le\npouvoir d'endormir les ennemis.,74560,86,"The sword of the great Air Pirate Daccat, it has\nthe power to lull enemies to sleep."
9,2150393296,118542,11,Jagdmesser,117633,16,Espada Cazadora,118270,15,Lame de Chasse,116176,15,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,76293,95,"Ein Jagdmesser, das an die Hauer eines wilden\nTieres erinnert, bei Ixa'taka-Kriegern beliebt.",75544,93,Un arma de caza que imita la dentadura de un\nanimal. Preferida por los guerreros Ixa'takan.,75621,87,Lame de chasse conçue comme un croc d'animal.\nÉpée préférée des guerriers Ixa'takans.,74646,92,A hunting blade fashioned to resemble a beast's\nfang. A favorite among Ixa'takan warriors.
10,2150393312,118553,14,Steinschneide,117649,12,Cortapiedra,118285,13,Coupe Pierre,116191,12,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,76388,86,"Messer, ursprünglich zu Steinmetzarbeiten\nbenutzt, jetzt für den Kampf umgearbeitet.",75637,93,"Una espada que se utilizaba en albañilería,\npero se ha transformado para su uso en combate.",75708,95,"Une lame utilisée à l'origine en maçonnerie, qui\na été modifiée pour servir dans les combats.",74738,91,"A blade originally used in masonry work, it has\nsince been modified to be used in combat."
11,2150393324,118567,13,Traummachete,117661,16,Sable de Sueños,118298,11,Sabre Rêve,116203,14,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,76474,96,"Legendäres Schwert, das den Stoff der Wirklich-\nkeit zerschneiden und Träume wahr machen kann.",75730,88,Mítica espada que deshace la materia de lo real\npara que los sueños se hagan realidad.,75803,96,Une épée légendaire qui peut soi-disant déchirer\nle tissu de la réalité et réaliser les rêves.,74829,92,A legendary sword that can supposedly rip the\nfabric of reality and make dreams come true.
12,2150393340,118580,12,Windspalter,117677,13,Corta-viento,118309,16,Coupeur de Vent,116217,11,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,76570,91,"Ein so dünnes Messer, dass man von ihm sagt, es\nkönne die Luft in zwei Hälften schneiden.",75818,86,"Espada de hoja tan fina que, según la leyenda,\ncorta el mismisimo aire por la mitad.",75899,64,Une épée si fine qu'elle peut couper l'air\nd'après la légende.,74921,78,A blade so slender that it is fabled to be able\nto cut the very air in half.
13,2150393352,118592,14,Vorlik-Klinge,117690,14,Espada Vorlik,118325,12,Épée Vorlik,116228,13,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,76661,72,"Meisterwerk des legendären Schmieds Ryu-kan,\naus Velorium hergestellt.",75904,79,"Una obra maestra del mítico creador de espadas\nRyu-kan, forjada con Velorium.",75963,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\nRyu-kan, forgée en Velorium.",74999,75,"A masterpiece of the legendary swordsmith,\nRyu-kan, forged from Velorium."
14,2150393368,118606,14,Suiran-Klinge,117704,14,Espada Suiran,118337,12,Épée Suiran,116241,13,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,76733,93,"Von Yafutoman-Soldaten benutztes Schwert, trotz\nseiner schweren Klinge leicht zu handhaben.",75983,97,"Espada corta usada por los soldados Yafutoman.\nAunque sea gruesa y pesada, es fácil de manejar.",76042,95,"Une courte épée dont se servaient les soldats\nYafutomans, lame large et lourde mais maniable.",75074,91,"A short sword used by Yafutoman soldiers, its\nthick, heavy blade is still easy to handle."
15,2150393384,118620,14,Seelenschwert,117718,16,Espada del Alma,118349,14,Epée de l'âme,116254,11,Soul Sword,0,Vyse,50,14,56,16,Death #3,0,12340,174,90,-1,None,0,0,76826,94,"Das Schwert der Schwerter, das Meisterstück des\nSchmieds Ryu-kan. Kann auf der Stelle töten.",76080,87,"Espada suprema. La mejor obra de Ryu-kan, el\nmaestro armero. Puede matar al instante.",76137,93,"La meilleure création du maître faiseur d'épées,\nRyu-kan. Peut entraîner une mort soudaine.",75165,95,"The ultimate sword, the best work of the master\nswordsmith, Ryu-kan. Can cause instant death."
16,2150393396,118634,9,Bumerang,117734,8,Bumerán,118363,10,Boomerang,116265,10,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,76920,79,"Aikas Lieblings-Bumerang. Sehr groß, aber nicht\nschwer und leicht zu steuern.",76167,70,El Bumerán preferido de Aika. Grande pero\nligero y fácil de dirigir.,76230,71,Boomerang préféré d'Aika. Il est grand mais\nléger et facile à lancer.,75260,78,"Aika's favorite boomerang. It's large but light,\nand relatively easy to aim."
17,2150955920,118643,16,Himmelsschwinge,117742,12,Ala Celeste,118373,13,Aile du ciel,116275,8,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,76999,90,"Bumerang, der wie ein fliegender Vogel geformt\nist. Er kommt immer zum Werfenden zurück.",76237,91,"Bumerán con forma de pájaro volador. Siempre\nregresa, da igual lo lejos que sea lanzado.",76301,83,"Un boomerang en forme d'oiseau. Il revient\ntoujours, quelle que soit la distance.",75338,91,"A boomerang shaped like a flying bird. It\nalways returns, no matter how far it is thrown."
18,2150393408,118659,15,Späherschwinge,117754,16,Ala Exploradora,118386,14,Aile du scout,116283,11,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,77089,80,"Waffe, die von den Spähtrupps benutzt\nwird, sie soll schnell und tödlich sein.",76328,93,El arma que usan las tripulaciones de partidas\nde reconocimiento. Debe ser rápida y mortal.,76384,94,"Arme transportée par les équipes d'éclaireurs,\nelle est conçue pour être rapide et mortelle.",75429,83,"A weapon carried by crews of scouting parties,\nit is meant to be fast and deadly."
19,2150393420,118674,11,Eisspalter,117770,11,Cortahielo,118400,17,Fendeur de Glace,116294,13,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,77169,79,"Bumerang mit scharfer Klinge, der im\nFlug scheinbar die Luft gefrieren lässt.",76421,94,"Un Bumerán de hoja afilada y transparente como\nel hielo, que congela el aire que atraviesa.",76478,78,Un boomerang à la lame glacée et aiguisée qui\nsemble geler l'air qu'il fend.,75512,93,"A boomerang with an icy clear, sharp blade that\nseemingly freezes the air it flies through."
20,2150393436,118685,12,Ledersichel,117781,13,Bumerán piel,118417,13,Aile de Cuir,116307,17,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,77248,74,"Lederverstärkter Bumerang, sehr robust gebaut\nund äußerst schlagkräftig.",76515,72,Un Bumerán reforzado con cuero de hechura\nrecia y con un gran impacto.,76556,81,Un boomerang en cuir renforcé qui est très\nsolide et particulièrement puissant.,75605,88,"A leather-reinforced boomerang that is very\nsturdy in build, and packs an extra punch."
21,2150393456,118697,11,Wurfklinge,117794,17,Espada de lanzar,118430,15,Lame de Lancer,116324,15,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,77322,94,"Alte Waffe, die nahe Sailors' Island gefunden\nwurde. Vermutlich für Holz- und Steinarbeiten.",76587,84,Arma antigua de la Isla del Pirata. Se usaba\npara trabajar la madera y la piedra.,76637,98,Ancienne arme trouvée près de l'Île des Marins.\nAurait servie au travail du bois & de la pierre.,75693,96,An ancient weapon found near Sailors' Island.\nThought to have been used for wood & stone work.
22,2150393472,118708,10,Jagdbogen,117811,13,Arco de caza,118445,14,Arc de Chasse,116339,12,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,77416,77,"Traditionelle Ixa'taka-Jagdwaffe; Kinder lernen\nsehr früh, damit umzugehen.",76671,96,"Un arma de caza tradicional de los Ixa'takan,\nque los niños aprenden a manejar desde pequeños.",76735,89,"Arme traditionnelle de chasse d'Ixa'taka, on\napprend très tôt aux enfants à s'en sevir.",75789,96,"A traditional Ixa'takan hunting weapon, children\nare taught to use them from a very young age."
23,2150393484,118718,10,Valuarang,117824,10,Valuarang,118459,10,Valuarang,116351,10,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,77493,96,"Leichter Bumerang, zur Übung für den jährlichen\nBumerang-Wettbewerb im Valua-Coliseum benutzt.",76767,82,Bumerán ligero con el que practicar para el\nconcurso anual del Coliseo de Valua.,76824,91,Un boomerang léger qui sert pour l'entraînement\nau championnat annuel du Coliseum Valuan.,75885,93,A light boomerang used to practice for the\nannual boomerang contest in the Valuan Coliseum.
24,2150393496,118728,13,Yin-Schwinge,117834,9,Yin Wing,118469,9,Aile Yin,116361,9,Yin Wing,1,Aika,50,28,72,17,Sleep #5,0,5930,130,110,-1,None,0,0,77589,84,"Tränenförmige Klinge, von einem Meisterschmied\naus einem Stück Moon Stone geformt.",76849,94,Una espada en forma de lágrima creada por un\nmaestro artesano con una pieza de Piedra Lunar.,76915,93,Épée en forme de larme réalisée par un grand\nmaître avec un seul morceau de Pierre de Lune.,75978,88,A tear-shaped blade crafted by a master\nweaponsmith from a single piece of Moon Stone.
25,2150393508,118741,12,Tänzerspeer,117843,14,Arco Danzarín,118478,12,Arc Dansant,116370,12,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,77673,86,"Ornamentaler Wurfspeer, von Nasr-Tänzern\nbenutzt. Wird auch als Jagdwaffe gebraucht.",76943,84,Las bailarinas de Nasr usan este cuchillo\nornamental que sirve también para cazar.,77008,95,Une épée de lancer décorative utilisée par les\ndanceurs Nasrean. Sert aussi d'arme de chasse.,76066,94,A decorative throwing blade used by Nasrean\ndancers. It is used as a hunting weapon as well.
26,2150393520,118753,16,Hoffngsschwinge,117857,17,Ala de Esperanza,118490,14,Aile d'Espoir,116382,13,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,77759,96,"Zur Erinnerung an diejenigen, die in Dark Rift\nihr Leben ließen, damit es anderen besser geht.",77027,92,"Hecha en memoria de los desaparecidos en la\nGruta Oscura, para dar esperanza a los nuevos.",77103,91,Réalisée en mémoire des disparus du Récif Noir\ndans l'espoir que d'autres s'en sortiront.,76160,93,Crafted in memory of those lost in the Dark Rift\nand in hopes that others will fare better.
